19.100000381469718.19491004943000000000 2005-09-2721.04999923719.2999992
19.200000762939419.32619857788000000005 2005-09-2819.29999923700000020.5
20.100000381469719.05280113220000000001 2005-09-2920.39999961820.2099990
20.180000305175719.80699920654000000003 2005-09-3020.26000022821.0100002
20.899999618530220.26893806457000000001 2005-10-0320.89999961800000021.5
21.440000534057620.89115142822000000001 2005-10-0421.44000053422.1599998
0000000000021.7520.92886161804000000000 2005-10-0522.10000038122.2000007
22.399999618530221.28709983825000000001 2005-10-0622.60000038122.5799999
21.799999237060520.88172531127000000000 2005-10-07000000022.2522.1499996
22.100000381469720.93829154968000000000 2005-10-1022.28000068622.2099990
21.799999237060520.72145652770000000000 2005-10-1122.26000022821.9799995
21.639999389648420.51405525207000000000 2005-10-1221.89999961821.7600002
21.399999618530220.46691703796000000000 2005-10-1321.70000076221.7099990
21.850000381469720.99484825134000000000 2005-10-1421.85000038122.2700004
21.850000381469720.81572723388000000000 2005-10-1722.14999961822.0799999
21.350000381469720.25951194763000000001 2005-10-1822.05999946521.4899997
20.850000381469720.15581130981000000001 2005-10-1921.37000083921.3799991
20.850000381469719.81642913818000000000 2005-10-2021.35000038121.0200004
21.010000228881820.70260429382000000000 2005-10-2121.02000045721.9599990
21.950000762939421.03256225585000000000 2005-10-2422.01000022822.3099994
21.700000762939420.74031066894000000000 2005-10-25000000022.250000000022
21.989999771118121.04198646545000000000 2005-10-2600000000002222.3199996
22.200000762939421.26824760437000000000 2005-10-2722.26000022822.5599994
22.370000839233422.53152465820000000001 2005-10-2822.54999923723.8999996
000000000000002423.26685905456000000000 2005-10-3100000000002424.6800003
24.690000534057623.58738899230000000000 2005-11-0124.70000076225.0200004
25.200000762939425.97252655029000000002 2005-11-0225.22999954227.5499992
27.600000381469726.27420806884000000000 2005-11-0327.60000038127.8700008
27.770000457763627.15095138549000000000 2005-11-0427.79999923728.7999992
28.379999160766627.27351188659000000000 2005-11-0700000000002928.9300003
000000000000002927.74488258361000000001 2005-11-0829.10000038129.4300003
29.430000305175729.50780296325000000001 2005-11-0929.43000030531.2999992
31.149999618530230.92191696166000000001 2005-11-1031.14999961832.7999992
000000000000003331.44043350219000000001 2005-11-1133.04999923733.3499984
33.450000762939431.81751823425000000001 2005-11-140000000033.50000033.75
32.840000152587831.94007110595000000000 2005-11-15000000033.7533.8800010
