34.099998474121025.02766609191000000013 2013-01-0234.91999816835.1199989
34.159999847412124.82100105285000000016 2013-01-0300000000003534.8300018
0000000000034.2524.50744438171000000021 2013-01-0434.61999893134.3899993
34.150001525878924.55732727050000000017 2013-01-0734.15000152534.4599990
33.360000610351524.02285575866000000017 2013-01-0834.29000091533.7099990
33.610000610351524.15826034545000000018 2013-01-0933.61000061033.9000015
33.330001831054624.22952461242000000015 2013-01-1033.6599998470000000034
33.349998474121024.40979576110000000011 2013-01-1133.59000015233.8499984
33.799999237060524.58287048339000000011 2013-01-1434.00999832134.0900001
33.709999084472624.95063972473000000013 2013-01-1533.70999908434.5999984
34.450000762939425.62849044799000000016 2013-01-1634.47000122035.5400009
0000000000035.7526.26306152343000000014 2013-01-17000000035.7536.4199981
36.040000915527326.91207504272000000017 2013-01-1836.43000030537.3199996
35.930000305175726.26306152343000000015 2013-01-2236.97999954236.4199981
00000000000036.527.25820159912000000010 2013-01-2336.90999984737.7999992
37.229999542236327.01303100585000000011 2013-01-2437.79000091537.4599990
36.639999389648427.11397743225000000008 2013-01-2537.52000045737.5999984
36.709999084472626.60199928283000000007 2013-01-2837.65000152536.8899993
0000000000036.2526.90486717224000000008 2013-01-2936.70999908437.3100013
36.810001373291026.63083267211000000010 2013-01-3036.81000137336.9300003
36.270000457763626.45776748657000000010 2013-01-3136.84000015236.6899986
36.520000457763626.81111526489000000009 2013-02-0136.84000015237.1800003
36.549999237060526.88322448730000000006 2013-02-0436.63999938937.2799987
37.180000305175726.82553482055000000007 2013-02-0537.41999816837.2000007
36.860000610351526.78227233886000000005 2013-02-0636.95999908437.1399993
35.799999237060526.26306152343000000009 2013-02-0737.56999969436.4199981
35.830001831054626.14047813415000000013 2013-02-0836.3699989310000036.25
0000000000035.7525.85203170776000000006 2013-02-1136.13000106835.8499984
35.200000762939425.54194450378000000007 2013-02-1235.77000045735.4199981
35.150001525878925.43378448486000000004 2013-02-1335.41999816835.2700004
35.009998321533226.37123870849000000007 2013-02-1435.04999923736.5699996
36.930000305175727.09956359863000000013 2013-02-1536.93000030537.5800018
37.110000610351527.53944206237000000008 2013-02-1937.54000091538.1899986
37.610000610351527.84231185913000000008 2013-02-2038.15999984738.6100006
38.189998626708927.96491050720000000007 2013-02-2138.49000167838.7799987
38.139999389648427.73414421081000000004 2013-02-2238.79000091538.4599990
37.369998931884726.94812774658000000004 2013-02-2538.54000091537.3699989
36.959999084472626.74621391296000000004 2013-02-2637.59999847437.0900001
36.400001525878926.48661231994000000012 2013-02-2736.97000122036.7299995
00000000000036.526.62362670898000000010 2013-02-2836.65999984736.9199981
36.549999237060527.26541900634000000008 2013-03-0136.79999923737.8100013
37.529998779296827.57550239562000000005 2013-03-0437.52999877938.2400016
37.290000915527327.04908370971000000006 2013-03-0538.45000076237.5099983
37.369998931884727.21494102478000000005 2013-03-0637.56000137337.7400016
37.439998626708927.03465652465000000004 2013-03-0737.65000152537.4900016
37.159999847412126.92649841308000000004 2013-03-0837.63999938937.3400001
37.080001831054627.16445922851000000004 2013-03-11000000037.2537.6699981
37.049999237060526.80390167236000000006 2013-03-1237.70000076237.1699981
37.040000915527326.80390167236000000003 2013-03-1337.20000076237.1699981
36.860000610351527.08514022827000000009 2013-03-1437.43000030537.5600013
37.279998779296827.76298332214000000012 2013-03-1537.43999862600000038.5
37.990001678466827.51780891418000000005 2013-03-1838.04999923738.1599998
37.840000152587827.66203498840000000005 2013-03-19000000038.2538.3600006
38.409999847412128.16682052612000000007 2013-03-200000000038.539.0600013
38.479999542236327.75577926635000000004 2013-03-2138.81999969438.4900016
38.299999237060528.10190582275000000003 2013-03-2238.56999969438.9700012
38.930000305175728.35430526733000000006 2013-03-2539.11999893139.3199996
39.569999694824228.99609947204000000007 2013-03-2639.56999969440.2099990
39.659999847412128.95283508300000000004 2013-03-2740.22000122040.1500015
39.779998779296829.40713882446000000007 2013-03-2840.25999832140.7799987
39.959999084472629.65231895446000000005 2013-04-0139.95999908441.1199989
40.520000457763629.35666275024000000005 2013-04-0241.22000122040.7099990
40.349998474121029.25571060180000000004 2013-04-03000000040.7540.5699996
40.619998931884729.99844932556000000020 2013-04-0440.77000045741.5999984
41.090000152587829.78932571411000000014 2013-04-0541.31000137341.3100013
41.069999694824230.12104797363000000016 2013-04-0841.27000045741.7700004
41.799999237060530.68351173400000000008 2013-04-0941.95999908442.5499992
00000000000042.531.45511054992000000007 2013-04-1042.65000152543.6199989
43.110000610351531.44055938720000000006 2013-04-1143.41999816843.2000007
42.619998931884731.36049270629000000004 2013-04-1242.97000122043.0900001
41.409999847412130.15964126586000000007 2013-04-1542.86999893141.4399986
41.130001068115230.89471244812000000006 2013-04-1641.66999816842.4500007
41.419998168945330.74187088012000000005 2013-04-1742.13999938942.2400016
41.889999389648430.80010223388000000005 2013-04-1842.36999893142.3199996
42.200000762939430.85104370117000000006 2013-04-1942.50999832142.3899993
42.880001068115232.16833114624000000008 2013-04-2200000000004344.2000007
44.400001525878932.85247039794000000009 2013-04-2344.61000061045.1399993
43.939998626708932.25567626953000000005 2013-04-2445.13999938944.3199996
43.759998321533232.19744873046000000005 2013-04-25000000044.7544.2400016
0000000000044.7533.36191177368000000010 2013-04-2644.95000076245.8400001
45.049999237060532.91795730590000000006 2013-04-2945.83000183145.2299995
45.009998321533233.51474380493000000006 2013-04-3045.04999923746.0499992
45.549999237060533.15085983276000000006 2013-05-0145.74000167845.5499992
43.860000610351532.01551437377000000009 2013-05-0245.68000030543.9900016
43.830001831054632.51767730712000000004 2013-05-0344.31000137344.6800003
