20.549999237060518.40544509887000000008 2007-05-03000000021.7520.7199993
20.700000762939418.63640403747000000005 2007-05-04000000021.2520.9799995
20.200000762939418.08566665649000000002 2007-05-0721.20000076220.3600006
19.299999237060517.43720626831000000004 2007-05-0800000000002019.6299991
19.629999160766617.57933044433000000007 2007-05-09000000019.7519.7900009
19.549999237060517.49939155578000000003 2007-05-1019.79000091519.7000007
19.110000610351517.14406967163000000003 2007-05-1119.70999908419.2999992
0000000000018.7516.77986717224000000001 2007-05-1419.14999961818.8899993
18.149999618530216.16694450378000000003 2007-05-1518.64999961818.2000007
18.020000457763616.29130172729000000002 2007-05-1618.05999946518.3400001
18.670000076293916.89534950256000000008 2007-05-1718.79999923719.0200004
18.540000915527317.15294265747000000006 2007-05-1819.46999931319.3099994
000000000000001916.87758064270000000002 2007-05-2119.2000007620000000019
000000000000001917.30396080017000000004 2007-05-2219.10000038119.4799995
19.100000381469717.06411933898000000002 2007-05-230000000019.519.2099990
18.850000381469716.89534950256000000002 2007-05-2419.20999908419.0200004
18.690000534057616.66438865661000000000 2007-05-2519.02000045718.7600002
18.850000381469716.95752906799000000002 2007-05-2918.90999984719.0900001
18.809999465942316.85981559753000000002 2007-05-3019.04999923718.9799995
19.030000686645516.92200088500000000003 2007-05-3119.14999961819.0499992
19.049999237060517.36613845825000000002 2007-06-0119.10000038119.5499992
18.690000534057616.73545265197000000005 2007-06-0418.70000076218.8400001
18.729999542236316.83316993713000000004 2007-06-0518.85000038118.9500007
18.649999618530216.81539916992000000002 2007-06-0618.70000076218.9300003
18.149999618530216.41566658020000000003 2007-06-0718.77000045718.4799995
18.200000762939416.72657394409000000002 2007-06-0818.20000076218.8299999
18.219999313354416.32683753967000000001 2007-06-1118.54999923718.3799991
18.020000457763616.34460639953000000008 2007-06-1218.14999961818.3999996
18.360000610351516.55779647827000000003 2007-06-1318.47999954218.6399993
18.430000305175716.78874778747000000008 2007-06-140000000018.518.8999996
