0.222222223877900.000000619692000000000 1962-01-020000000000000.22337962
0.219907402992240.000000610059000000000 1962-01-030000000000000.21990740
0.217592597007750.000000603638000000000 1962-01-040000000000000.21759259
0.214120373129840.000000594006000000000 1962-01-050000000000000.21412037
0.210648149251930.000000584373000000000 1962-01-080000000000000.21064814
0.212962970137590.000000590795000000000 1962-01-090000000000000.21296297
0.214699074625960.000000603638000000000 1962-01-100000000000000.21759259
0.216435179114340.000000600427000000000 1962-01-110000000000000.21643517
0.214120373129840.000000594006000000000 1962-01-120000000000000.21412037
0.214120373129840.000000594006000000000 1962-01-150000000000000.21412037
0.212962970137590.000000590795000000000 1962-01-160000000000000.21296297
0.212962970137590.000000594006000000000 1962-01-170000000000000.21412037
0.212384253740310.000000589189000000000 1962-01-180000000000000.21238425
0.213541671633720.000000595611000000000 1962-01-190000000000000.21469907
0.212384253740310.000000589189000000000 1962-01-220000000000000.21238425
0.210648149251930.000000584373000000000 1962-01-230000000000000.21064814
0.209490746259680.000000582768000000000 1962-01-240000000000000.21006944
0.208912029862400.000000581162000000000 1962-01-250000000000000.20949074
0.208912029862400.000000579557000000000 1962-01-260000000000000.20891202
0.209490746259680.000000587584000000000 1962-01-290000000000000.21180555
0.210648149251930.000000584373000000000 1962-01-300000000000000.21064814
0.212384253740310.000000597217000000000 1962-01-310000000000000.21527777
0.214699074625960.000000602032000000000 1962-02-010000000000000.21701389
0.217592597007750.000000630930000000002 1962-02-020000000000000.22743055
0.233796298503870.000000658223000000001 1962-02-050000000000000.23726852
0.239583328366270.000000687120000000002 1962-02-060000000000000.24768517
0000000000000.250.000000693541000000003 1962-02-070000000000000000000.25
0.245949074625960.000000685515000000001 1962-02-080000000000000.24710647
0.241898149251930.000000683909000000000 1962-02-090000000000000.24652777
0.243055552244180.000000677488000000000 1962-02-120000000000000.24421297
0.241319447755810.000000672664000000000 1962-02-130000000000000.24189814
0.233796298503870.000000653352000000001 1962-02-140000000000000.23495370
0.232638895511620.000000653352000000000 1962-02-150000000000000.23495370
0.233217597007750.000000650134000000000 1962-02-160000000000000.23379629
0.232060179114340.000000645306000000000 1962-02-190000000000000.23206017
0.228009253740310.000000634042000000000 1962-02-200000000000000.22800925
0.222222223877900.000000617949000000000 1962-02-210000000000000.22222222
0.219907402992240.000000611512000000000 1962-02-230000000000000.21990740
0.221064820885650.000000624386000000000 1962-02-260000000000000.22453702
0.223379626870150.000000632432000000000 1962-02-270000000000000.22743055
0.224537029862400.000000624386000000000 1962-02-280000000000000.22453702
0.224537029862400.000000625995000000000 1962-03-010000000000000.22511574
0.223379626870150.000000622777000000000 1962-03-020000000000000.22395832
0.224537029862400.000000624386000000000 1962-03-050000000000000.22453702
0.226273149251930.000000632432000000000 1962-03-060000000000000.22743055
0.226851850748060.000000634042000000000 1962-03-070000000000000.22800925
0.229166671633720.000000637260000000000 1962-03-080000000000000.22916667
0.228009253740310.000000634042000000000 1962-03-090000000000000.22800925
0.229745373129840.000000640479000000000 1962-03-120000000000000.23032407
0.231481477618210.000000661398000000000 1962-03-130000000000000.23784722
0.240740746259680.000000672664000000000 1962-03-140000000000000.24189814
0.240740746259680.000000677491000000000 1962-03-150000000000000.24363425
0.237847223877900.000000661398000000000 1962-03-160000000000000.23784722
0.237268522381780.000000659790000000000 1962-03-190000000000000.23726852
0.236111104488370.000000659790000000000 1962-03-200000000000000.23726852
0.236111104488370.000000656571000000000 1962-03-210000000000000.23611110
0.235532402992240.000000654962000000000 1962-03-220000000000000.23553240
0.233217597007750.000000648524000000000 1962-03-230000000000000.23321759
0.230902776122090.000000650134000000000 1962-03-260000000000000.23379629
0.230324074625960.000000640479000000000 1962-03-270000000000000.23032407
0.229166671633720.000000637260000000000 1962-03-280000000000000.22916667
0.229166671633720.000000637260000000000 1962-03-290000000000000.22916667
0.223958328366270.000000622777000000000 1962-03-300000000000000.22395832
0.222800925374030.000000619558000000000 1962-04-020000000000000.22280092
0.222222223877900.000000622777000000000 1962-04-030000000000000.22395832
0.223379626870150.000000621168000000000 1962-04-040000000000000.22337962
0.224537029862400.000000624386000000000 1962-04-050000000000000.22453702
0.222800925374030.000000619558000000000 1962-04-060000000000000.22280092
0.222222223877900.000000617949000000000 1962-04-090000000000000.22222222
0.219907402992240.000000611512000000000 1962-04-100000000000000.21990740
0.221064820885650.000000614731000000000 1962-04-110000000000000.22106482
0.215277776122090.000000598638000000000 1962-04-120000000000000.21527777
0.215277776122090.000000609903000000000 1962-04-130000000000000.21932870
0000000000.218750.000000608293000000000 1962-04-160000000000000000.21875
0.217592597007750.000000608293000000000 1962-04-170000000000000000.21875
0.217592597007750.000000605076000000000 1962-04-180000000000000.21759259
0.217592597007750.000000608293000000000 1962-04-190000000000000000.21875
0.217592597007750.000000606684000000000 1962-04-230000000000000.21817129
0.215277776122090.000000598638000000000 1962-04-240000000000000.21527777
0.214699074625960.000000597029000000000 1962-04-250000000000000.21469907
0.210648149251930.000000585765000000000 1962-04-260000000000000.21064814
0.207175925374030.000000576109000000000 1962-04-270000000000000.20717592
0.199074074625960.000000553579000000000 1962-04-300000000000000.19907407
0.199652776122090.000000576109000000000 1962-05-010000000000000.20717592
0.207754626870150.000000580937000000000 1962-05-020000000000000.20891202
0.210069447755810.000000584155000000000 1962-05-030000000000000.21006944
0.211226850748060.000000590592000000000 1962-05-040000000000000.21238425
0.211805552244180.000000592201000000000 1962-05-070000000000000.21296297
0.211226850748060.000000587373000000000 1962-05-080000000000000.21122685
0.210069447755810.000000584155000000000 1962-05-090000000000000.21006944
0.203703701496120.000000571281000000000 1962-05-100000000000000.20543982
0.203703701496120.000000566453000000000 1962-05-110000000000000.20370370
0.201967597007750.000000569672000000000 1962-05-140000000000000.20486110
0.207754626870150.000000577718000000000 1962-05-150000000000000.20775462
0.207175925374030.000000576109000000000 1962-05-160000000000000.20717592
0.208333328366270.000000579327000000000 1962-05-170000000000000.20833332
0.204861104488370.000000569672000000000 1962-05-180000000000000.20486110
0.202546298503870.000000563235000000000 1962-05-210000000000000.20254629
0.200231477618210.000000558397000000000 1962-05-220000000000000.20023147
0.194444447755810.000000542258000000000 1962-05-230000000000000.19444444
0.190393522381780.000000536609000000001 1962-05-240000000000000.19241897
0.178240746259680.000000503525000000000 1962-05-250000000000000.18055555
0.164930552244180.000000459951000000000 1962-05-280000000000000.16493055
0.159722223877900.000000484159000000001 1962-05-290000000000000.17361110
0.182870373129840.000000509981000000001 1962-05-310000000000000.18287037
0.180555552244180.000000516436000000000 1962-06-010000000000000.18518517
0.175925925374030.000000497070000000000 1962-06-040000000000000.17824074
0.173611104488370.000000484966000000000 1962-06-050000000000000.17390047
0.173611104488370.000000492228000000000 1962-06-060000000000000.17650462
0.174768522381780.000000493842000000000 1962-06-070000000000000.17708332
0.177083328366270.000000495456000000000 1962-06-080000000000000.17766202
0.176504626870150.000000492228000000000 1962-06-110000000000000.17650462
0.165509253740310.000000461565000000000 1962-06-120000000000000.16550925
0.159722223877900.000000445426000000000 1962-06-130000000000000.15972222
0.151041671633720.000000424446000000001 1962-06-140000000000000.15219907
0.152199074625960.000000471248000000001 1962-06-150000000000000.16898147
0.164930552244180.000000461565000000000 1962-06-180000000000000.16550925
0.162037029862400.000000451882000000000 1962-06-190000000000000.16203702
0.160879626870150.000000464793000000000 1962-06-200000000000000.16666667
0.158564820885650.000000445426000000000 1962-06-210000000000000.15972222
