0.263020843267440.004165847320000000000 1962-01-020.26302084320.26302084
0.253255218267440.004073044750000000001 1962-01-030.25911459320.25716146
00000000.25781250.004103979561000000000 1962-01-040000.25781250.25911459
0.252604156732550.004011174198000000001 1962-01-050.25911459320.25325521
0.245768234133720.003969929646000000002 1962-01-080.25130209320.25065103
0.248697921633720.004042109474000000000 1962-01-090.25065103170.25520834
0.252604156732550.004062732681000000001 1962-01-100.25520834320.25651040
0.255208343267440.004103979561000000000 1962-01-110.25651040670.25911459
0.254557281732550.004073044750000000000 1962-01-120.25911459320.25716146
0000000.253906250.004031801130000000000 1962-01-150.25651040670.25455728
0.249674484133720.003959617111000000001 1962-01-16000.253906250000000.25
00000000.24218750.003835880430000000001 1962-01-17000000000.2500.2421875
000000.2363281250.003758542239000000002 1962-01-180000.24218750.23730468
0.239583328366270.003877124283000000001 1962-01-190.23958332830.24479167
00000000.24218750.003908058628000000001 1962-01-220.24479167160.24674479
0.241536453366270.003825567895000000000 1962-01-23000.246093750.24153645
000000000.2343750.003784321947000000002 1962-01-240.24153645330.23893229
0.236979171633720.003753386205000000001 1962-01-250.23893229660.23697917
0.233072921633720.003712141187000000001 1962-01-260.2369791716000.234375
0.233723953366270.003712141187000000000 1962-01-2900000.234375000.234375
00000.23339843750.003696671687000000001 1962-01-3000000.2343750.23339843
000000000.2343750.003846192732000000001 1962-01-3100000.2343750.24283854
0.244791671633720.003877124283000000001 1962-02-010.24479167160.24479167
0.240885421633720.003918369766000000001 1962-02-020.24479167160.24739582
0.245442703366270.003918369766000000000 1962-02-050.24739582830.24739582
000000.2441406250.003866811748000000000 1962-02-060.24739582830.24414062
000000.2441406250.003887434490000000000 1962-02-0700.2441406250.24544270
0.242838546633720.003897750051000000000 1962-02-080.24544270330.24609375
0.244791671633720.003918369766000000000 1962-02-09000.246093750.24739582
0.245442703366270.003887434490000000000 1962-02-120.24739582830.24544270
0.245442703366270.003887434490000000000 1962-02-130.24544270330.24544270
0.240885421633720.003815256292000000000 1962-02-140.24544270330.24088542
0.239583328366270.003794634947000000000 1962-02-150.24088542160.23958332
0.239583328366270.003794634947000000001 1962-02-160.23958332830.23958332
0.241536453366270.003856502007000000000 1962-02-190.24153645330.24348957
0.241536453366270.003835880430000000000 1962-02-200.243489578300.2421875
0.240885421633720.003815256292000000000 1962-02-210000.24218750.24088542
0000000.238281250.003774010110000000001 1962-02-230.24088542160.23828125
0.236979171633720.003835880430000000000 1962-02-26000.2382812500.2421875
00000000.24218750.003856502007000000000 1962-02-270000.24218750.24348957
0000000.238281250.003784321947000000000 1962-02-280.24283854660.23893229
000000000.2343750.003763698041000000019 1962-03-010.23893229660.23763020
0000000.238281250.003804942825000000000 1962-03-02000.238281250.24023437
0.236979171633720.003753386205000000000 1962-03-0500.2402343750.23697917
0.239583328366270.003835880430000000000 1962-03-060.239583328300.2421875
0.238932296633720.003784321947000000000 1962-03-070000.24218750.23893229
0000000.238281250.003794634947000000000 1962-03-080.23893229660.23958332
0.235026046633720.003753386205000000001 1962-03-090.23958332830.23697917
0.239583328366270.003835880430000000000 1962-03-120.239583328300.2421875
0.242513015866270.003897072048000000001 1962-03-130.24251301580.24446614
0.243489578366270.003902260214000000001 1962-03-140.24446614080.24479167
0.243489578366270.003881505224000000000 1962-03-150.24479167160.24348957
0.243489578366270.003881505224000000000 1962-03-160.24348957830.24348957
0.243489578366270.003902260214000000000 1962-03-190.24348957830.24479167
0.244791671633720.003943774383000000001 1962-03-200.24479167160.24739582
0.248697921633720.003995666280000000002 1962-03-210.24869792160.25065103
0.251302093267440.004037177655000000001 1962-03-220.25130209320.25325521
