000000000000003636.70999908447000000005 2015-07-0600000000003836.7099990
000000000000003636.61999893188000000007 2015-07-0737.72000122036.6199989
34.529998779296834.70000076293000000005 2015-07-0836.34000015234.7000007
33.9900016784668000000000034.5000000003 2015-07-0935.09999847400000034.5
33.979999542236334.68999862670000000004 2015-07-1034.65999984734.6899986
00000000000035.536.77999877929000000007 2015-07-1335.59000015236.7799987
36.599998474121036.93000030517000000004 2015-07-1436.99000167836.9300003
37.029998779296837.50999832153000000013 2015-07-1537.97999954237.5099983
38.080001831054638.63000106811000000021 2015-07-1638.81999969438.6300010
38.180000305175738.38999938964000000045 2015-07-1739.41999816838.3899993
39.799999237060540.47000122070000000052 2015-07-2041.45999908440.4700012
39.119998931884739.34999847412000000032 2015-07-2141.08000183139.3499984
38.099998474121038.38999938964000000025 2015-07-2239.34999847438.3899993
36.930000305175737.00999832153000000019 2015-07-2338.74000167837.0099983
36.909999847412100000000000037000000014 2015-07-2437.7099990840000000037
36.220001220703136.38999938964000000016 2015-07-2736.77999877936.3899993
36.830001831054637.59999847412000000018 2015-07-2837.18999862637.5999984
37.619998931884737.95000076293000000011 2015-07-2938.02999877937.9500007
37.715000152587838.45000076293000000013 2015-07-3038.04000091538.4500007
38.220001220703138.70000076293000000012 2015-07-3139.13999938938.7000007
38.900001525878939.38999938964000000015 2015-08-03000000039.2539.3899993
38.430000305175738.95000076293000000010 2015-08-0439.90999984738.9500007
39.169998168945339.27000045776000000009 2015-08-0539.70000076239.2700004
38.549999237060538.84999847412000000007 2015-08-0639.63000106838.8499984
38.599998474121039.13000106811000000008 2015-08-0739.04000091539.1300010
38.770000457763639.04999923706000000007 2015-08-1039.43000030539.0499992
38.720001220703138.84999847412000000008 2015-08-1138.93000030538.8499984
37.009998321533238.18999862670000000021 2015-08-1238.54999923738.1899986
37.439998626708937.61999893188000000007 2015-08-1338.40000152537.6199989
37.380001068115238.13999938964000000006 2015-08-1437.49000167838.1399993
37.700000762939438.72999954223000000004 2015-08-1738.29999923738.7299995
37.869998931884737.99000167846000000004 2015-08-1800000000003937.9900016
37.029998779296837.18999862670000000006 2015-08-1937.86999893137.1899986
35.880001068115235.97999954223000000010 2015-08-2036.84999847435.9799995
33.830001831054600000000034.25000000016 2015-08-2135.5699996940000034.25
000000000000003000000000033.75000000019 2015-08-2431.1700000760000033.75
32.700000762939432.70000076293000000015 2015-08-2535.43999862632.7000007
31.709999084472633.16999816894000000025 2015-08-2633.70000076233.1699981
33.159999847412134.61999893188000000018 2015-08-2733.86999893134.6199989
34.369998931884735.04000091552000000008 2015-08-2834.50999832135.0400009
34.770000457763600000000000035000000012 2015-08-310000000035.50000000035
33.409999847412133.77000045776000000013 2015-09-0134.15000152533.7700004
33.834999084472635.06999969482000000007 2015-09-0234.59999847435.0699996
34.770000457763635.31000137329000000006 2015-09-0335.00999832135.3100013
33.779998779296834.29000091552000000007 2015-09-0434.70999908434.2900009
0000000000034.2534.70000076293000000007 2015-09-0834.81000137334.7000007
33.880001068115234.36999893188000000010 2015-09-0934.91999816834.3699989
