5.083333492279050.205089688301000000003 1983-11-215.08333349225.13541650
0000000005.093750.203425541520000000002 1983-11-225.13541650770005.09375
5.052083492279050.202593609690000000001 1983-11-23000005.093755.07291650
5.072916507720940.203009560704000000003 1983-11-255.07291650775.08333349
0000000005.031250.200929626822000000004 1983-11-285.08333349220005.03125
4.947916507720940.197601586580000000002 1983-11-295.02083349224.94791650
0000000004.906250.196353614330000000003 1983-11-304.94791650774.91666650
4.927083492279050.198433533310000000009 1983-12-014.92708349220004.96875
00000000004.93750.197601586580000000001 1983-12-02000004.968754.94791650
4.927083492279050.196769595146000000001 1983-12-054.94791650774.92708349
0000000004.906250.195937469601000000002 1983-12-064.92708349220004.90625
4.854166507720940.195105537772000000006 1983-12-07000004.906254.88541650
000000000004.8750.195105537772000000006 1983-12-084.88541650774.88541650
0000000004.843750.193857476115000000006 1983-12-094.88541650774.85416650
4.854166507720940.194273546338000000003 1983-12-124.85416650774.86458349
4.854166507720940.195937469601000000007 1983-12-134.86458349220004.90625
0000000004.906250.196353614330000000004 1983-12-14000004.906254.91666650
000000000004.8750.195105537772000000003 1983-12-154.91666650774.88541650
4.854166507720940.195105537772000000003 1983-12-164.88541650774.88541650
000000000004.8750.195105537772000000003 1983-12-194.88541650774.88541650
000000000004.8750.195937469601000000002 1983-12-204.88541650770004.90625
000000000004.8750.196353614330000000007 1983-12-21000004.906254.91666650
4.885416507720940.195105537772000000007 1983-12-224.91666650774.88541650
4.854166507720940.195521622896000000003 1983-12-234.88541650774.89583349
4.864583492279050.195105537772000000002 1983-12-274.89583349224.88541650
4.885416507720940.197185590863000000005 1983-12-284.885416507700004.9375
4.916666507720940.196769595146000000004 1983-12-290000004.93754.92708349
0000000004.906250.195937469601000000002 1983-12-304.92708349220004.90625
4.916666507720940.203009560704000000002 1984-01-034.91666650775.08333349
5.135416507720940.212993681430000000006 1984-01-045.13541650775.33333349
5.291666507720940.212161615490000000004 1984-01-055.333333492200005.3125
5.177083492279050.207169696688000000004 1984-01-060000005.312500005.1875
5.135416507720940.206337600946000000003 1984-01-090000005.18755.16666650
5.135416507720940.206337600946000000003 1984-01-105.16666650775.16666650
5.177083492279050.207585513591000000004 1984-01-115.17708349225.19791650
5.177083492279050.208001539111000000002 1984-01-125.19791650775.20833349
5.208333492279050.211329624056000000004 1984-01-135.20833349225.29166650
0000000000005.250.215489730238000000003 1984-01-165.29166650775.39583349
5.364583492279050.216321676969000000002 1984-01-175.39583349225.41666650
5.416666507720940.219233661890000000004 1984-01-185.41666650775.48958349
5.427083492279050.216737732291000000003 1984-01-195.48958349225.42708349
5.385416507720940.216737732291000000002 1984-01-205.42708349225.42708349
5.395833492279050.216321676969000000001 1984-01-235.42708349225.41666650
5.395833492279050.215489730238000000002 1984-01-245.41666650775.39583349
5.302083492279050.212161615490000000001 1984-01-255.395833492200005.3125
5.197916507720940.208001539111000000003 1984-01-265.29166650775.20833349
5.145833492279050.207585513591000000004 1984-01-275.20833349225.19791650
00000000005.18750.210913628339000000004 1984-01-305.19791650770005.28125
5.239583492279050.209249690175000000002 1984-01-31000005.281255.23958349
5.208333492279050.208001539111000000001 1984-02-015.23958349225.20833349
5.177083492279050.206753626465000000004 1984-02-025.20833349225.17708349
5.166666507720940.207169696688000000003 1984-02-035.177083492200005.1875
5.135416507720940.205089688301000000002 1984-02-060000005.18755.13541650
5.072916507720940.204257652163000000003 1984-02-075.13541650775.11458349
5.083333492279050.203425541520000000002 1984-02-085.11458349220005.09375
00000000000000050.199681565165000000002 1984-02-095.07291650770000000005
4.958333492279050.198849394917000000002 1984-02-100000000000054.97916650
