0000000000013.7511.12933635711000000708 2008-03-1900000014.875000014.125
000000000014.37512.67561817169000000198 2008-03-2014.60000038116.0874996
0000000000014.7511.76557731628000000149 2008-03-2416.80999946514.9324998
14.954999923706012.45894336700000000087 2008-03-2515.14500045700015.8125
15.392499923706012.59880256652000000043 2008-03-2615.68249988515.9899997
15.662500381469712.39197158813000000039 2008-03-2716.01250076215.7274999
15.539999961853012.36242389678000000024 2008-03-2815.84249973215.6899995
15.512499809265112.28363418579000000022 2008-03-3115.64999961815.5900001
15.077500343322712.13589859008000000060 2008-04-0115.76500034315.4025001
000000000015.12512.27575206756000000043 2008-04-0215.43000030515.5799999
15.454999923706012.90214729309000000100 2008-04-0315.487500190000016.375
00000000015.937512.70123004913000000036 2008-04-0416.22500038116.1200008
16.004999160766612.81153678894000000028 2008-04-0716.27499961816.2600002
16.202499389648413.41232490539000000053 2008-04-0816.22500038117.0224990
16.402500152587812.95927238464000000048 2008-04-0917.11000061016.4475002
16.277500152587813.02230834960000000022 2008-04-1016.54000091516.5275001
00000000016.312513.02230834960000000026 2008-04-110000016.312516.5275001
16.382499694824212.93760490417000000028 2008-04-1416.67499923716.4200000
000000000000001612.67561817169000000023 2008-04-1516.57250022816.0874996
16.139999389648413.02821826934000000025 2008-04-1616.13999938916.5349998
16.502500534057613.20549392700000000022 2008-04-1716.56500053416.7600002
16.799999237060513.59157371520000000104 2008-04-1817.0025005340000017.25
17.212499618530213.97962570190000000058 2008-04-2117.37000083917.7425003
00000000000017.513.84371566772000000047 2008-04-2217.97999954217.5699996
17.422500610351513.80431079864000000037 2008-04-2317.73749923717.5200004
17.510000228881814.24160861968000000038 2008-04-2417.79999923718.0750007
18.477500915527314.79314804077000000101 2008-04-2500000000001918.7749996
18.725000381469714.89754867553000000132 2008-04-2800000019.12518.9074993
0000000000017.7515.93169498443000000197 2008-04-2918.53750038120.2199993
20.267499923706016.43793106079000000147 2008-04-3020.35000038120.8624992
20.975000381469716.82203674316000000116 2008-05-0121.09749984721.3500003
0000000000020.2516.30004501342000000136 2008-05-0221.82250022800020.6875
20.204999923706016.75506210327000000070 2008-05-0520.71249961821.2649993
00000000021.187517.24160194396000000075 2008-05-0621.36750030521.8824996
21.915000915527317.43267250061000000100 2008-05-0722.207500457000022.125
21.485000610351517.19630241394000000092 2008-05-0800000022.37521.8250007
20.629999160766616.32171058654000000094 2008-05-0921.45249938920.7150001
19.524999618530216.13261222839000000147 2008-05-1220.91250038120.4750003
20.197500228881816.22715950012000000053 2008-05-1320.45750045720.5949993
20.362499237060516.19761276245000000051 2008-05-1420.82500076220.5575008
20.277500152587816.20154953002000000036 2008-05-1520.63249969400020.5625
20.315000534057616.22519683837000000034 2008-05-1620.67749977120.5925006
20.537500381469716.41232299804000000045 2008-05-1920.56749916020.8299999
20.477500915527316.29807090759000000040 2008-05-2020.71999931320.6849994
20.129999160766615.92578411102000000041 2008-05-2120.67000007620.2124996
19.040000915527315.22847747802000000085 2008-05-2220.14249992319.3274993
18.780000686645515.03937339782000000042 2008-05-2318.95999908419.0874996
18.590000152587815.51015472412000000062 2008-05-2719.22999954219.6849994
19.887500762939416.13654899597000000052 2008-05-2820.07250022820.4799995
20.752500534057616.79249382019000000100 2008-05-2920.85750007600021.3125
21.452499389648417.01113510131000000072 2008-05-3021.50499916021.5900001
21.149999618530216.95401191711000000036 2008-06-0221.55249977121.5174999
21.507499694824217.24751281738000000048 2008-06-0321.75250053421.8899993
21.319999694824216.83779525756000000040 2008-06-0421.77000045721.3700008
21.397499084472617.18447875976000000027 2008-06-0521.61499977121.8099994
20.887500762939416.47732353210000000041 2008-06-0621.47500038120.9125003
20.139999389648416.17988395690000000045 2008-06-0900000000002120.5349998
19.902500152587815.81941032409000000036 2008-06-1020.07500076220.0774993
19.399999618530215.31317996978000000056 2008-06-11000000020.2519.4349994
19.637500762939415.67167472839000000044 2008-06-1219.73749923719.8899993
20.037500381469716.05972671508000000030 2008-06-1320.06500053420.3824996
20.274999618530216.40246963500000000034 2008-06-1620.37000083920.8174991
20.920000076293916.67823600769000000033 2008-06-1721.02499961821.1674995
20.860000610351516.51869010925000000033 2008-06-1820.93000030520.9650001
20.405000686645516.59945487976000000036 2008-06-1920.87000083921.0674991
00000000020.687516.46156311035000000042 2008-06-2020.74250030520.8924999
20.254999160766615.96714401245000000030 2008-06-2320.96249961820.2649993
19.627500534057616.28230667114000000049 2008-06-2420.01499938920.6650009
20.465000152587816.16412544250000000050 2008-06-2520.84000015220.5149993
19.504999160766615.58106803894000000076 2008-06-2620.14999961819.7749996
19.637500762939416.27048873901000000176 2008-06-2719.70000076220.6499996
20.075000762939416.01638984680000000049 2008-06-3020.50250053420.3274993
19.799999237060516.03608894348000000044 2008-07-0119.90999984720.3525009
19.825000762939415.64409828186000000033 2008-07-0220.47500038119.8549995
00000000019.312515.37818336486000000028 2008-07-0319.84000015219.5174999
00000000000018.514.89557647705000000079 2008-07-0700000019.62518.9050006
00000000018.062515.57318496704000000095 2008-07-0818.72249984719.7649993
18.850000381469714.94482135772000000055 2008-07-09000000019.7518.9675006
18.472499847412115.21665096282000000052 2008-07-1018.94000053400019.3125
00000000000018.514.68481445312000000054 2008-07-1118.89999961818.6375007
000000000018.12514.29676342010000000042 2008-07-1419.02249908418.1450004
16.822500228881813.47732734680000000084 2008-07-1517.81500053417.1049995
16.627500534057614.22781944274000000092 2008-07-1617.08250045718.0575008
17.837499618530214.78527164459000000067 2008-07-1718.42499923718.7649993
18.030000686645514.45829010009000000046 2008-07-1818.55999946518.3500003
17.892499923706014.16281795501000000052 2008-07-2118.47750091517.9750003
16.975000381469714.58632373809000000065 2008-07-2217.39999961818.5125007
18.149999618530214.42873859405000000049 2008-07-2300000018.37500018.3125
17.489999771118113.80431079864000000036 2008-07-2418.22999954217.5200004
17.267499923706014.17463779449000000038 2008-07-2517.63500022817.9899997
00000000017.562513.89689540863000000035 2008-07-2818.10250091517.6375007
17.752500534057614.96452140808000000049 2008-07-2917.75749969418.9925003
18.567499160766615.45302772521000000076 2008-07-300000019.312519.6124992
17.872499465942314.39130973815000000148 2008-07-3119.05500030518.2649993
17.587499618530214.12932682037000000061 2008-08-0118.32500076217.9325008
000000000017.87514.28100490570000000042 2008-08-0417.940000534000018.125
18.079999923706014.49767971038000000034 2008-08-0518.29999923718.3999996
17.767499923706014.08008289337000000040 2008-08-0618.20000076217.8700008
17.334999084472613.69006061553000000043 2008-08-0717.694999694000017.375
17.277500152587814.30070400238000000036 2008-08-0817.44249916018.1499996
17.987499237060514.73208808898000000055 2008-08-1118.11000061018.6975002
18.149999618530214.34009456634000000033 2008-08-1218.54999923718.2000007
18.120000839233414.64718723297000000029 2008-08-130000018.187518.4825000
18.399999618530215.01371097564000000025 2008-08-1418.46750068618.9449996
18.707500457763615.01569366455000000026 2008-08-1518.99749946518.9475002
18.534999847412114.84728813171000000025 2008-08-1818.90500068618.7350006
18.402500152587814.60954380035000000021 2008-08-1918.61249923718.4349994
18.415000915527314.77398681640000000018 2008-08-2018.52499961818.6424999
18.297500610351514.73634338378000000015 2008-08-2118.48999977118.5949993
18.459999084472614.67889022827000000020 2008-08-2218.84000015218.5224990
18.282499313354414.52632713317000000018 2008-08-2518.37999916018.3299999
18.217500686645514.53029441833000000018 2008-08-2618.41749954218.3349990
18.212499618530214.75021076202000000019 2008-08-2718.25749969418.6124992
18.542499542236314.98796176910000000026 2008-08-280000018.687518.9125003
18.674999237060515.03749275207000000019 2008-08-2918.73999977118.9750003
18.597499847412114.85719871520000000029 2008-09-0219.20750045718.7474994
18.017499923706014.47283840179000000035 2008-09-0318.63999938918.2625007
00000000017.437513.96762847900000000037 2008-09-0418.129999160000017.625
00000000017.312514.21725845336000000040 2008-09-0517.49250030517.9400005
17.170000076293913.88837909698000000056 2008-09-0818.37750053417.5249996
16.795000076293913.37127876281000000049 2008-09-0917.58749961816.8724994
16.657499313354413.67836856842000000043 2008-09-1016.81749916017.2600002
16.762500762939414.05678176879000000047 2008-09-1116.85250091517.7374992
00000000017.312514.19546794891000000028 2008-09-1217.48250007617.9125003
17.065000534057613.74573135375000000038 2008-09-1517.16500091517.3449993
0000000000016.2513.14541912078000000083 2008-09-1616.65500068616.5874996
16.002500534057612.69766330718000000067 2008-09-1716.45249938916.0224990
14.595000267028813.25438785552000000084 2008-09-1816.04999923716.7250003
16.760000228881813.78337383270000000068 2008-09-1917.75250053417.3924999
16.225000381469712.91361427307000000046 2008-09-2217.22999954216.2950000
16.027500152587813.25438785552000000043 2008-09-2316.46249961816.7250003
000000000016.37513.01268005371000000024 2008-09-2416.76250076216.4200000
16.135000228881812.79870414733000000023 2008-09-250000016.437516.1499996
15.199999809265112.29151248931000000051 2008-09-2615.68249988515.5100002
13.972499847412111.45147323608000000078 2008-09-2915.07499980914.4499998
14.095000267028812.16273403167000000038 2008-09-3014.09500026715.3474998
14.802499771118112.14688205718000000027 2008-10-010000015.187515.3275003
14.327500343322711.40986824035000000035 2008-10-0215.37250041914.3975000
14.077500343322711.26127624511000000058 2008-10-0314.76749992314.2100000
00000000012.562510.97201728820000000087 2008-10-0613.35499954213.8450002
12.654999732971110.13396072387000000075 2008-10-0700000000001412.7875003
00000000011.937510.42718029022000000075 2008-10-0812.25249958013.1575002
12.35249996185309.876401901245000000042 2008-10-0913.44750022812.4624996
0000000000011.7510.30236816406000000072 2008-10-10000000011.750000000013
13.397500038146911.66346359252000000049 2008-10-1313.74750041914.7174997
00000000013.812511.41383075714000000053 2008-10-140000000015.514.4025001
12.13249969482429.856586456298000000076 2008-10-1513.88000011400012.4375
12.010000228881810.51435661315000000056 2008-10-1612.53750038113.2674999
000000000012.87510.34595394134000000035 2008-10-1700000012.87513.0550003
12.779999732971110.30434513092000000035 2008-10-2013.32750034313.0024995
12.572500228881810.04480361938000000028 2008-10-2112.83749961812.6750001
00000000000000129.610916137695000000040 2008-10-2212.49250030512.1274995
11.43500041961679.573273658752000000047 2008-10-2312.18999958012.0799999
10.93500041961679.505913734436000000040 2008-10-2410.94999980911.9949998
11.60999965667729.230522155761000000041 2008-10-2711.75249958011.6475000
11.76249980926519.900177001953000000058 2008-10-2811.97500038112.4925003
12.377499580383310.04281997680000000055 2008-10-2912.60000038112.6724996
12.645000457763610.74813842773000000074 2008-10-3012.64750003800013.5625
0000000000013.2510.96607398986000000040 2008-10-3113.47249984713.8374996
12.977499961853010.39944553375000000028 2008-11-0313.97999954213.1225004
13.470000267028811.84969806671000000073 2008-11-0413.59500026714.9525003
14.107500076293911.18797111511000000044 2008-11-0514.57250022814.1175003
12.685000419616710.20924472808000000052 2008-11-0613.76000022812.8824996
12.827500343322710.59955024719000000030 2008-11-0713.112500190000013.375
12.800000190734810.30038356781000000026 2008-11-1013.82499980912.9975004
12.590000152587810.65700435638000000032 2008-11-1112.74750041913.4475002
12.795000076293910.33351802825000000042 2008-11-1213.11250019000012.9375
12.472499847412110.87066268920000000038 2008-11-1312.97000026713.6099996
13.112500190734810.83072566986000000037 2008-11-1413.27750015213.5600004
12.914999961853010.53519535064000000029 2008-11-1713.27750015213.1899995
13.152500152587810.91060161590000000031 2008-11-1813.19750022813.6599998
12.810000419616710.29957294464000000034 2008-11-190000000013.512.8950004
00000000000000129.612669944763000000050 2008-11-2012.55249977112.0349998
10.88500022888189.261228561401000000084 2008-11-2112.39999961811.5950002
11.44499969482429.928165435791000000044 2008-11-2411.90250015212.4300003
0000000000012.259.890226364135000000044 2008-11-2512.59000015212.3824996
12.050000190734810.38344287872000000027 2008-11-2612.2025003430000000013
12.792499542236310.49526214599000000010 2008-11-2812.92749977113.1400003
11.91749954223639.594700813293000000030 2008-12-01000000012.7512.0124998
11.88249969482429.920178413391000000026 2008-12-0212.17249965612.4200000
12.027500152587810.47130012512000000036 2008-12-0312.02999973213.1099996
12.555000305175710.14581775665000000030 2008-12-0412.98250007612.7025003
000000000012.12510.61906242370000000040 2008-12-050000012.437513.2950000
13.492500305175711.21411323547000000053 2008-12-0813.60000038114.0399999
13.274999618530210.68895053863000000032 2008-12-0900000013.87513.3824996
12.737500190734810.61507034301000000030 2008-12-1013.28750038113.2899999
12.930000305175710.40140914916000000029 2008-12-1113.10000038113.0225000
000000000012.62510.57313442230000000025 2008-12-1212.62749958013.2375001
12.942500114440910.53319740295000000021 2008-12-1513.20250034300013.1875
13.185000419616710.93655681610000000030 2008-12-1613.32499980913.6925001
13.515000343322711.05436515808000000024 2008-12-1713.57250022813.8400001
13.517499923706010.92257976531000000030 2008-12-1813.84249973213.6750001
13.444999694824210.97649574279000000035 2008-12-1913.62749958013.7425003
13.244999885559010.73287963867000000014 2008-12-2213.71500015200013.4375
13.279999732971110.71291351318000000010 2008-12-2313.38000011413.4125003
13.162500381469710.56115531921000000006 2008-12-2413.35999965613.2224998
12.982500076293910.63304233551000000006 2008-12-2613.19499969400013.3125
12.982500076293910.41738319396000000013 2008-12-2913.26249980913.0424995
12.567500114440910.18176269531000000017 2008-12-3013.05000019012.7475004
12.649999618530210.47329711914000000016 2008-12-3112.65250015213.1125001
13.060000419616710.67098140716000000013 2009-01-0213.22999954213.3599996
0000000000013.2510.74685859680000000016 2009-01-05000000013.2513.4549999
000000000013.62511.50365352630000000032 2009-01-0600000013.62514.4025001
13.997500419616711.25404834747000000028 2009-01-0714.17249965614.0900001
13.317500114440911.13424301147000000034 2009-01-0814.00249958013.9399995
13.694999694824211.10628509521000000016 2009-01-0914.00500011413.9049997
13.140000343322710.57513236999000000031 2009-01-1213.82250022813.2399997
12.877499580383310.61107921600000000023 2009-01-130000013.187513.2849998
12.555000305175710.17776775360000000025 2009-01-1413.00249958012.7425003
000000000011.8759.860274314880000000047 2009-01-1512.59500026712.3450002
11.30249977111819.466898918151000000069 2009-01-1612.25749969411.8524999
10.51500034332278.470489501953000000059 2009-01-2011.51249980910.6049995
10.67500019073488.821928024291000000050 2009-01-2110.80000019011.0450000
10.80749988555908.821928024291000000031 2009-01-2210.94499969411.0450000
10.44499969482428.849884986877000000022 2009-01-2310.67249965611.0799999
10.63000011444098.504432678222000000024 2009-01-2611.07499980910.6475000
10.65999984741218.815941810607000000026 2009-01-2710.87250041911.0375003
00000000011.31259.428963661193000000032 2009-01-2811.47749996111.8050003
00000000011.31259.239263534545000000026 2009-01-2911.48499965611.5675001
11.71500015258789.854283332824000000030 2009-01-3011.76249980912.3374996
11.88500022888189.978086471557000000028 2009-02-0212.06499958012.4925003
12.04749965667729.662590980529000000028 2009-02-0312.55249977112.0974998
12.14000034332279.810349464416000000033 2009-02-0412.21500015212.2825002
000000000012.87510.73088550567000000096 2009-02-0513.06000041913.4350004
13.420000076293911.06435489654000000045 2009-02-0613.48750019013.8524999
13.649999618530211.04638481140000000031 2009-02-0913.88000011413.8299999
13.402500152587810.75285243988000000038 2009-02-1013.78250026713.4624996
000000000013.37511.06076335906000000023 2009-02-1113.52499961813.7399997
13.274999618530211.35056781768000000034 2009-02-1213.56999969414.1000003
13.814999580383311.26000308990000000040 2009-02-1314.23250007613.9875001
13.417499542236310.91787433624000000035 2009-02-1713.67249965600013.5625
00000000013.562511.30025291442000000036 2009-02-1813.64249992314.0375003
13.872500419616711.19560241699000000035 2009-02-1914.23750019013.9075002
000000000013.62511.20164108276000000042 2009-02-2013.66250038113.9149999
13.497500419616710.91787433624000000031 2009-02-2314.01000022800013.5625
13.402500152587811.34049892425000000043 2009-02-2413.58500003814.0874996
13.784999847412111.15333747863000000034 2009-02-2514.02750015213.8549995
13.697500228881811.28213691711000000035 2009-02-260000014.062514.0150003
0000000000013.7511.41295242309000000047 2009-02-27000000013.7514.1774997
13.467499732971110.89976501464000000039 2009-03-0213.98250007613.5399999
13.302499771118110.94001293182000000042 2009-03-0313.68249988513.5900001
13.475000381469711.12717533111000000035 2009-03-04000000013.7513.8225002
13.170000076293910.75083827972000000044 2009-03-0513.63749980913.3549995
12.302499771118110.10079669952000000060 2009-03-0613.43999958012.5474996
12.185000419616710.02230739593000000033 2009-03-0912.41749954212.4499998
12.647500038146910.64015102386000000038 2009-03-1012.74750041913.2174997
12.630000114440910.33827400207000000036 2009-03-1113.41499996112.8424997
12.567500114440910.88567543029000000043 2009-03-1212.82499980913.5225000
12.925000190734810.47512245178000000049 2009-03-1313.56499958013.0124998
12.965000152587810.49927330017000000033 2009-03-1613.24499988513.0424995
12.832500457763611.12717533111000000025 2009-03-1700000000001313.8225002
13.364999771118111.33245563507000000045 2009-03-1813.61250019014.0775003
13.107500076293910.60392475128000000041 2009-03-1914.09500026713.1724996
000000000013.12510.57172584533000000033 2009-03-2013.30000019013.1324996
13.225000381469711.17749118804000000044 2009-03-2313.46749973213.8850002
13.317500114440910.78706359863000000043 2009-03-2413.56999969413.3999996
12.819999694824210.61599826812000000058 2009-03-2513.48750019000013.1875
13.130000114440911.16944122314000000059 2009-03-2613.345000267000013.875
13.552499771118110.91787433624000000032 2009-03-2713.56999969400013.5625
13.252499580383310.76694107055000000038 2009-03-3013.324999809000013.375
13.460000038146911.18956279754000000047 2009-03-3113.60000038113.8999996
13.407500267028810.92592620849000000044 2009-04-010000013.687513.5725002
13.779999732971111.18755531311000000047 2009-04-0213.86499977113.8975000
13.817500114440912.09116935729000000057 2009-04-0313.81750011415.0200004
