0.128348216414450.101261064410000000469 1980-12-120.12834821640.12834821
0.121651783585540.095977917313000000175 1980-12-150.12220982460.12165178
0.112723216414450.088933631777000000105 1980-12-16000.113281250.11272321
0.115513391792770.091134987771000000086 1980-12-170.11551339170.11551339
0.118861608207220.093776546418000000073 1980-12-180.11886160820.11886160
0.126116067171090.099500015377000000048 1980-12-190.12611606710.12611606
0.132254466414450.104342944920000000037 1980-12-220.13225446640.13225446
0.137834817171090.108745604753000000046 1980-12-230.13783481710.13783481
0.145089283585540.114469073712000000048 1980-12-240.14508928350.14508928
0.158482149243350.125035434961000000055 1980-12-260.15848214920.15848214
0.160714283585540.126796469092000000093 1980-12-290.16071428350.16071428
0.156808033585540.123714573681000000068 1980-12-300.15736606710.15680803
0000000.152343750.120192505419000000035 1980-12-310.15290178350.15234375
0.154017850756640.121513284742000000021 1981-01-020.15401785070.15401785
0.150669649243350.118871733546000000035 1981-01-050.15122768280.15066964
0.143973216414450.113588497042000000045 1981-01-06000.144531250.14397321
0.137834817171090.108745604753000000055 1981-01-070.13839285070.13783481
0.135044649243350.106544286012000000039 1981-01-080.13560268280.13504464
0.142299100756640.112267732620000000021 1981-01-090.14229910070.14229910
0.141183033585540.111387185752000000023 1981-01-120.14229910070.14118303
0.136160716414450.107424788177000000023 1981-01-13000.136718750.13616071
0000000.136718750.107865050435000000014 1981-01-14000.136718750.13671875
0.139508932828900.110066384077000000014 1981-01-150.13950893280.13950893
0.138392850756640.109185837209000000013 1981-01-160.13895089920.13839285
0.146763399243350.115789860486000000041 1981-01-190.14676339920.14676339
0.142299100756640.112267732620000000030 1981-01-200.14285714920.14229910
0.145089283585540.114469073712000000015 1981-01-210.14508928350.14508928
0.146763399243350.115789860486000000035 1981-01-220.14676339920.14676339
0.146205350756640.115349583327000000011 1981-01-230.14676339920.14620535
0.143973216414450.113588497042000000024 1981-01-26000.144531250.14397321
0.142857149243350.112707972526000000023 1981-01-270.14397321640.14285714
0.138392850756640.109185837209000000028 1981-01-280.13895089920.13839285
0.133370533585540.105223491787000000043 1981-01-290.13392856710.13337053
0.126116067171090.099500015377000000046 1981-01-300.12723214920.12611606
0.118861608207220.093776546418000000023 1981-02-020.11941964170.11886160
0.123325891792770.097298689186000000019 1981-02-030.12332589170.12332589
0.127790182828900.100820839405000000027 1981-02-040.12779018280.12779018
0.127790182828900.100820839405000000007 1981-02-050.12779018280.12779018
0.128348216414450.101261064410000000013 1981-02-060.12834821640.12834821
0.121651783585540.095977917313000000016 1981-02-090.12276785820.12165178
0.121651783585540.095977917313000000018 1981-02-100.12165178350.12165178
0.117745533585540.092896007001000000013 1981-02-110.11830357460.11774553
0.116629466414450.092015519738000000014 1981-02-120000.11718750.11662946
0.113839283585540.089814178645000000011 1981-02-130.11495535820.11383928
0.116629466414450.092015519738000000012 1981-02-170.11662946640.11662946
0.121651783585540.095977917313000000019 1981-02-180.12165178350.12165178
0.114397324621670.090254426002000000022 1981-02-190.11495535820.11439732
0.108258925378320.085411533713000000024 1981-02-200.10881696640.10825892
0.109933033585540.086732313036000000014 1981-02-230.10993303350.10993303
0.106026783585540.083650469779000000016 1981-02-240.10714285820.10602678
0.112723216414450.088933631777000000019 1981-02-250.11272321640.11272321
0.114397324621670.090254426002000000010 1981-02-260.11439732460.11439732
