89.949996948242193.88999938964000000271 2014-09-1992.69999694893.8899993
00000000000089.589.88999938964000000066 2014-09-2292.69999694889.8899993
86.620002746582087.16999816894000000039 2014-09-2388.94000244187.1699981
87.220001220703190.56999969482000000032 2014-09-2488.47000122090.5699996
00000000000088.588.91999816894000000028 2014-09-2591.08999633788.9199981
88.660003662109390.45999908447000000018 2014-09-2689.73000335690.4599990
88.019996643066400000000088.75000000025 2014-09-2989.6200027460000088.75
88.459999084472688.84999847412000000024 2014-09-3000000000008988.8499984
86.040000915527386.09999847412000000024 2014-10-0188.69999694886.0999984
85.611000061035187.05999755859000000021 2014-10-0286.26999664387.0599975
87.650001525878988.09999847412000000018 2014-10-0388.09999847488.0999984
88.059997558593788.30999755859000000009 2014-10-0689.15000152588.3099975
87.059997558593787.66999816894000000012 2014-10-0787.94999694887.6699981
87.059997558593788.30000305175000000010 2014-10-0800000000008888.3000030
000000000000008888.79000091552000000021 2014-10-0988.51000213688.7900009
85.239997863769585.87999725341000000015 2014-10-10000000088.2585.8799972
84.919998168945385.12000274658000000014 2014-10-1386.84999847485.1200027
83.220001220703184.94999694824000000015 2014-10-1485.80999755884.9499969
82.809997558593785.59999847412000000016 2014-10-1584.04000091585.5999984
84.014999389648488.84999847412000000015 2014-10-1684.98000335688.8499984
87.669998168945387.91000366210000000017 2014-10-1790.40000152587.9100036
87.860000610351588.26000213623000000009 2014-10-2000000000008888.2600021
00000000000088.590.90000152587000000023 2014-10-2189.09999847490.9000015
91.010002136230491.62999725341000000020 2014-10-22000000092.2591.6299972
92.819999694824294.44999694824000000020 2014-10-2392.91999816894.4499969
94.779998779296895.76000213623000000032 2014-10-2495.06999969495.7600021
96.300003051757897.79000091552000000028 2014-10-2700000000009797.7900009
98.610000610351599.68000030517000000032 2014-10-2899.83999633799.6800003
96.819999694824298.30999755859000000028 2014-10-2999.87999725398.3099975
97.300003051757898.73000335693000000015 2014-10-3098.48000335698.7300033
98.136001586914098.59999847412000000018 2014-10-31100.0999984798.5999984
99.0500030517578101.8000030517000000040 2014-11-0399.669998168101.800003
99.5100021362304106.0699996948000000067 2014-11-04100.42500305106.069999
106.480003356933108.6699981689000000048 2014-11-05108.48000335108.669998
107.209999084472111.5699996948000000033 2014-11-06109.30000305111.569999
0000000000111.75114.5599975585000000051 2014-11-07112.93000030114.559997
115.199996948242119.1500015258000000075 2014-11-10117.26999664119.150001
113.690002441406114.5400009155000000070 2014-11-11000000117.25114.540000
114.019996643066118.1999969482000000053 2014-11-12115.05000305118.199996
114.550003051757114.8399963378000000062 2014-11-13119.30000305114.839996
113.349998474121115.0999984741000000029 2014-11-14115.05999755115.099998
113.12999725341700000000114.25000000022 2014-11-17115.440002440000114.25
110.410003662109110.8099975585000000041 2014-11-18114.33000183110.809997
107.220001220703108.8199996948000000046 2014-11-19109.83000183108.819999
107.260002136230109.8199996948000000036 2014-11-20107.80999755109.819999
110.434997558593110.7300033569000000027 2014-11-21113.20999908110.730003
111.550003051757113.9199981689000000020 2014-11-24000000000112113.919998
112.330001831054113.4700012207000000023 2014-11-25114.94000244113.470001
112.330001831054112.6699981689000000011 2014-11-26113.33000183112.669998
111.110000610351111.6399993896000000008 2014-11-28113.13999938111.639999
103.896003723144105.9899978637000000038 2014-12-01110.01999664105.989997
106.610000610351109.8899993896000000018 2014-12-02107.34999847109.889999
108.797996520996110.6399993896000000016 2014-12-03110.40000152110.639999
108.910003662109109.1699981689000000010 2014-12-04110.09999847109.169998
107.760002136230107.9000015258000000012 2014-12-05109.59999847107.900001
104.209999084472105.0699996948000000019 2014-12-08105.97000122105.069999
101.199996948242107.4800033569000000024 2014-12-09102.26999664107.480003
103.510002136230103.8799972534000000018 2014-12-10107.08999633103.879997
104.290000915527104.9700012207000000015 2014-12-11104.44000244104.970001
104.179000854492105.1100006103000000014 2014-12-12104.69999694105.110000
103.699996948242104.6999969482000000016 2014-12-15106.38999938104.699996
103.699996948242105.7699966430000000021 2014-12-16000000103.75105.769996
106.279998779296109.0199966430000000017 2014-12-17107.11000061109.019996
108.26000213623000000000109.25000000022 2014-12-18110.580001830000109.25
108.040000915527110.6500015258000000014 2014-12-19109.93000030110.650001
108.529998779296108.7699966430000000013 2014-12-22110.62999725108.769996
103.879997253417105.5199966430000000019 2014-12-23108.30000305105.519996
105.599998474121105.9499969482000000005 2014-12-24105.68000030105.949996
00000000000105.5105.9499969482000000006 2014-12-26105.98999786105.949996
105.639999389648105.9800033569000000008 2014-12-29105.94999694105.980003
105.12999725341700000000105.75000000010 2014-12-30105.639999380000105.75
103.690002441406103.9400024414000000010 2014-12-31106.45999908103.940002
102.519996643066103.5999984741000000012 2015-01-02104.23999786103.599998
99.900001525878900000000000101000000018 2015-01-05102.760002130000000101
100.110000610351103.3199996948000000015 2015-01-06000000101.25103.319999
102.029998779296102.1299972534000000011 2015-01-07104.58999633102.129997
102.680000305175105.0299987792000000012 2015-01-08102.94999694105.029998
102.889999389648103.0199966430000000010 2015-01-09105.23999786103.019996
101.209999084472101.6200027465000000007 2015-01-12103.19999694101.620002
100.010002136230100.7699966430000000011 2015-01-13102.58999633100.769996
98.059997558593799.58000183105000000017 2015-01-1499.27999877999.5800018
96.019996643066496.30999755859000000018 2015-01-1599.66999816896.3099975
95.519996643066496.88999938964000000013 2015-01-1696.08999633796.8899993
97.5899963378906100.0400009155000000012 2015-01-2098.300003051100.040000
100.319999694824103.2900009155000000015 2015-01-21000000100.75103.290000
103.09999847412100000000000104000000011 2015-01-22104.599998470000000104
103.019996643066103.1100006103000000009 2015-01-23104.01999664103.110000
103.330001831054103.9899978637000000010 2015-01-26104.40000152103.989997
100.580001831054102.9400024414000000015 2015-01-27102.88999938102.940002
97.790000915527398.44999694824000000042 2015-01-28100.3000030598.4499969
87.360000610351589.80999755859000000076 2015-01-2990.52999877989.8099975
88.110000610351589.08000183105000000036 2015-01-3089.59999847489.0800018
88.610000610351590.12999725341000000018 2015-02-0291.12999725390.1299972
89.900001525878990.61000061035000000013 2015-02-0391.65000152590.6100006
89.480003356933600000000000090000000014 2015-02-0490.9899978630000000090
86.099998474121100000000000087000000028 2015-02-0589.5800018310000000087
85.419998168945385.68000030517000000017 2015-02-0687.11000061085.6800003
85.470001220703100000000000086000000012 2015-02-0985.8300018310000000086
86.519996643066487.26000213623000000012 2015-02-1087.01000213687.2600021
85.819999694824200000000000086000000012 2015-02-1187.5800018310000000086
85.550003051757887.09999847412000000015 2015-02-1285.59999847487.0999984
87.650001525878989.05000305175000000014 2015-02-1388.19999694889.0500030
86.699996948242186.84999847412000000015 2015-02-1788.77999877986.8499984
00000000000086.586.73999786376000000007 2015-02-1887.09999847486.7399978
86.709999084472686.88999938964000000007 2015-02-1986.80999755886.8899993
86.379997253417986.63999938964000000007 2015-02-20000000087.2586.6399993
0000000000085.2585.47000122070000000009 2015-02-2386.51000213685.4700012
83.879997253417984.69000244140000000015 2015-02-2485.52999877984.6900024
84.360000610351586.19000244140000000013 2015-02-2584.37999725386.1900024
85.199996948242185.37000274658000000008 2015-02-2686.91999816885.3700027
000000000000008585.12000274658000000008 2015-02-2785.94999694885.1200027
0000000000083.7500000000000084000000011 2015-03-020000000000850000000084
80.029998779296881.58000183105000000039 2015-03-0382.94999694881.5800018
80.169998168945385.48999786376000000036 2015-03-0480.26999664385.4899978
84.010002136230486.09999847412000000018 2015-03-05000000085.7586.0999984
84.050003051757884.40000152587000000010 2015-03-0685.73999786384.4000015
81.480003356933682.52999877929000000017 2015-03-0984.34999847482.5299987
80.650001525878982.97000122070000000013 2015-03-1081.08999633782.9700012
81.190002441406281.98999786376000000012 2015-03-1100000000008381.9899978
81.529998779296881.91999816894000000011 2015-03-1282.09999847481.9199981
80.769996643066481.86000061035000000012 2015-03-1381.80000305181.8600006
81.940002441406200000000000084000000016 2015-03-1682.0100021360000000084
83.5100021362304000000000084.5000000017 2015-03-1784.01000213600000084.5
83.300003051757884.58999633789000000035 2015-03-1883.87000274684.5899963
000000000000008585.73999786376000000030 2015-03-1985.11000061085.7399978
85.089996337890685.19999694824000000021 2015-03-2086.33000183185.1999969
84.209999084472600000000084.25000000011 2015-03-23000000085.250000084.25
82.389999389648483.62999725341000000014 2015-03-2484.34999847483.6299972
82.669998168945300000000083.75000000013 2015-03-2583.9400024410000083.75
82.959999084472684.16999816894000000012 2015-03-2683.19999694884.1699981
83.339996337890684.58000183105000000009 2015-03-2784.77999877984.5800018
0000000000083.7583.90000152587000000010 2015-03-3085.02999877983.9000015
83.199996948242183.23999786376000000011 2015-03-3183.63999938983.2399978
82.180000305175782.36000061035000000014 2015-04-0183.37000274682.3600006
0000000000081.2582.27999877929000000019 2015-04-0282.87999725382.2799987
81.613998413085981.81999969482000000012 2015-04-0682.05000305181.8199996
81.879997253417982.20999908447000000009 2015-04-0781.94000244182.2099990
83.066001892089885.38999938964000000026 2015-04-0883.30000305185.3899993
85.199996948242186.13999938964000000027 2015-04-0987.02999877986.1399993
84.150001525878984.58000183105000000018 2015-04-1086.68000030584.5800018
83.819999694824284.27999877929000000015 2015-04-1385.16000366284.2799987
83.529998779296800000000000085000000011 2015-04-1484.6299972530000000085
84.160003662109384.66999816894000000012 2015-04-1585.08000183184.6699981
83.889999389648484.05999755859000000012 2015-04-1685.15000152584.0599975
81.610000610351581.90000152587000000022 2015-04-1783.08000183181.9000015
81.519996643066482.19999694824000000013 2015-04-20000000082.2582.1999969
82.139999389648482.41999816894000000010 2015-04-2182.86000061082.4199981
81.519996643066482.05000305175000000013 2015-04-2282.77999877982.0500030
81.620002746582082.27999877929000000011 2015-04-2381.87999725382.2799987
82.800003051757884.56999969482000000021 2015-04-2482.87999725384.5699996
84.650001525878984.90000152587000000017 2015-04-2785.52999877984.9000015
83.819999694824285.08000183105000000011 2015-04-2885.54000091585.0800018
81.639999389648482.44999694824000000021 2015-04-2984.05999755882.4499969
80.440002441406281.29000091552000000014 2015-04-3082.22000122081.2900009
80.110000610351581.16999816894000000017 2015-05-0181.02999877981.1699981
80.120002746582080.58999633789000000021 2015-05-0481.16999816880.5899963
77.769996643066479.54000091552000000032 2015-05-0580.44000244179.5400009
79.510002136230400000000000080000000024 2015-05-0679.6500015250000000080
84.910003662109300000000000086000000069 2015-05-0788.8300018310000000086
86.889999389648487.05999755859000000030 2015-05-0887.81999969487.0599975
86.059997558593786.72000122070000000019 2015-05-1186.69999694886.7200012
86.139999389648486.76999664306000000016 2015-05-1287.05000305186.7699966
000000000000008787.52999877929000000019 2015-05-1387.08000183187.5299987
87.529998779296888.40000152587000000012 2015-05-1487.73999786388.4000015
88.050003051757888.45999908447000000013 2015-05-1588.51000213688.4599990
86.610000610351587.11000061035000000013 2015-05-1887.61000061087.1100006
86.470001220703188.20999908447000000020 2015-05-1986.98999786388.2099990
87.300003051757890.69999694824000000029 2015-05-2088.13999938990.6999969
90.919998168945393.87999725341000000040 2015-05-2191.34999847493.8799972
93.190002441406293.26999664306000000022 2015-05-2294.27999877993.2699966
91.550003051757892.51999664306000000015 2015-05-2693.65000152592.5199966
91.599998474121192.59999847412000000009 2015-05-2792.22000122092.5999984
90.580001831054690.94999694824000000014 2015-05-2891.69000244190.9499969
89.319999694824289.31999969482000000013 2015-05-2991.34999847489.3199996
89.489997863769590.77999877929000000009 2015-06-0190.08999633790.7799987
90.190002441406290.51000213623000000009 2015-06-0290.55000305190.5100021
89.900001525878990.79000091552000000009 2015-06-0390.51000213690.7900009
90.269996643066490.58999633789000000008 2015-06-0490.70999908490.5899963
90.459999084472690.70999908447000000011 2015-06-0590.45999908490.7099990
88.242996215820388.29000091552000000015 2015-06-0890.65000152588.2900009
86.120002746582087.58000183105000000016 2015-06-0988.04000091587.5800018
87.199996948242188.90000152587000000012 2015-06-1087.69999694888.9000015
87.099998474121187.20999908447000000013 2015-06-1189.02999877987.2099990
86.480003356933686.62999725341000000009 2015-06-1287.41999816886.6299972
86.050003051757886.12000274658000000010 2015-06-1586.30000305186.1200027
85.610000610351586.08999633789000000010 2015-06-1686.00299835286.0899963
86.480003356933686.80000305175000000010 2015-06-1786.58000183186.8000030
86.319999694824200000000086.75000000011 2015-06-1886.9700012200000086.75
85.169998168945385.73999786376000000010 2015-06-1986.51000213685.7399978
85.580001831054685.68000030517000000007 2015-06-2286.06999969485.6800003
84.830001831054685.08000183105000000011 2015-06-2385.98000335685.0800018
84.849998474121185.16999816894000000009 2015-06-2485.16300201485.1699981
84.900001525878985.23999786376000000008 2015-06-2585.47000122085.2399978
82.819999694824283.27999877929000000012 2015-06-2684.62999725383.2799987
80.800003051757881.06999969482000000015 2015-06-2983.27999877981.0699996
81.959999084472682.26999664306000000012 2015-06-3082.58000183182.2699966
81.989997863769582.45999908447000000005 2015-07-0182.59999847482.4599990
81.779998779296882.06999969482000000006 2015-07-0282.12000274682.0699996
80.120002746582080.23000335693000000011 2015-07-0680.55999755880.2300033
76.209999084472679.62000274658000000034 2015-07-0779.44999694879.6200027
76.220001220703177.94000244140000000022 2015-07-0876.58000183177.9400024
79.040000915527379.04000091552000000019 2015-07-0980.93000030579.0400009
79.839996337890680.30000305175000000011 2015-07-1081.12999725380.3000030
80.699996948242181.86000061035000000010 2015-07-1380.91999816881.8600006
81.1299972534179000000000081.5000000007 2015-07-1481.58000183100000081.5
80.209999084472680.73000335693000000009 2015-07-1580.90000152580.7300033
80.900001525878981.52999877929000000008 2015-07-1681.38999938981.5299987
81.580001831054683.36000061035000000014 2015-07-1781.98999786383.3600006
82.050003051757882.66999816894000000008 2015-07-2083.55999755882.6699981
82.220001220703182.54000091552000000005 2015-07-2183.11000061082.5400009
000000000000008284.15000152587000000011 2015-07-2282.16000366284.1500015
0000000000083.2583.87999725341000000007 2015-07-2384.66000366283.8799972
82.650001525878983.01999664306000000008 2015-07-2485.16999816883.0199966
79.680000305175781.40000152587000000012 2015-07-2780.84999847481.4000015
0000000000079.2580.55999755859000000012 2015-07-2880.66999816880.5599975
80.010002136230480.26000213623000000007 2015-07-2980.98000335680.2600021
79.449996948242179.95999908447000000006 2015-07-3080.11000061079.9599990
78.199996948242178.33999633789000000012 2015-07-3179.84999847478.3399963
77.110000610351577.98999786376000000009 2015-08-0378.19999694877.9899978
77.800003051757878.87000274658000000008 2015-08-0478.06999969478.8700027
79.480003356933679.81999969482000000007 2015-08-0579.58999633779.8199996
78.639999389648478.95999908447000000009 2015-08-0679.84999847478.9599990
78.660003662109378.81999969482000000008 2015-08-0779.65000152578.8199996
00000000000079.580.47000122070000000011 2015-08-1079.86000061080.4700012
76.150001525878977.33999633789000000022 2015-08-1179.48100280777.3399963
71.029998779296873.37999725341000000041 2015-08-1272.31999969473.3799972
73.660003662109375.11000061035000000023 2015-08-1300000000007475.1100006
74.459999084472674.76000213623000000012 2015-08-1474.52999877974.7600021
74.160003662109375.19000244140000000012 2015-08-1774.84999847475.1900024
73.730003356933673.87999725341000000011 2015-08-1874.05000305173.8799972
72.809997558593773.12000274658000000018 2015-08-1973.15000152573.1200027
70.029998779296870.31999969482000000020 2015-08-2071.98000335670.3199996
68.180000305175768.18000030517000000029 2015-08-2169.31999969468.1800003
000000000000005865.80000305175000000031 2015-08-2458.15999984765.8000030
67.489997863769568.56999969482000000029 2015-08-2568.83999633768.5699996
0000000000065.7568.66000366210000000026 2015-08-2668.94999694868.6600036
70.019996643066470.83999633789000000018 2015-08-2770.83999633770.8399963
69.044998168945370.06999969482000000010 2015-08-2869.68000030570.0699996
66.019996643066466.12000274658000000018 2015-08-3169.18000030566.1200027
64.050003051757864.83000183105000000023 2015-09-0164.37999725364.8300018
64.971000671386765.54000091552000000013 2015-09-0265.69000244165.5400009
65.410003662109366.47000122070000000015 2015-09-0365.82099914566.4700012
63.340000152587863.90999984741000000018 2015-09-0465.40499877963.9099998
0000000000060.2560.90999984741000000050 2015-09-0865.77999877960.9099998
62.529998779296864.04000091552000000033 2015-09-0962.72999954264.0400009
63.340000152587863.83000183105000000013 2015-09-1063.52000045763.8300018
62.700000762939464.62999725341000000017 2015-09-1163.36999893164.6299972
61.479999542236362.59999847412000000026 2015-09-1462.54999923762.5999984
61.110000610351564.84999847412000000029 2015-09-1561.45000076264.8499984
65.260002136230467.23000335693000000025 2015-09-1665.61000061067.2300033
65.599998474121100000000000066000000016 2015-09-1766.4100036620000000066
64.010002136230400000000065.75000000020 2015-09-1865.4000015250000065.75
62.959999084472663.90000152587000000022 2015-09-2165.37999725363.9000015
61.580001831054661.90000152587000000014 2015-09-2262.93999862661.9000015
59.680000305175700000000000060000000022 2015-09-2361.9599990840000000060
58.209999084472659.91999816894000000020 2015-09-2459.41999816859.9199981
58.919998168945359.24000167846000000017 2015-09-2560.63000106859.2400016
57.314998626708957.38999938964000000020 2015-09-2858.81000137357.3899993
57.200000762939457.81999969482000000016 2015-09-2957.29999923757.8199996
58.349998474121058.97000122070000000016 2015-09-3058.86999893158.9700012
58.229999542236358.86999893188000000008 2015-10-010000000059.558.8699989
58.200000762939463.20000076293000000022 2015-10-0258.36000061063.2000007
62.200000762939463.93000030517000000013 2015-10-0563.47000122063.9300003
63.279998779296863.91999816894000000009 2015-10-0663.72000122063.9199981
64.379997253417966.27999877929000000015 2015-10-0764.83999633766.2799987
65.959999084472667.69999694824000000018 2015-10-0866.04000091567.6999969
67.309997558593768.70999908447000000014 2015-10-0967.69999694868.7099990
000000000000006970.30000305175000000015 2015-10-1269.63999938970.3000030
68.379997253417969.68000030517000000013 2015-10-1369.48999786369.6800003
67.425003051757868.54000091552000000012 2015-10-140000000069.568.5400009
69.260002136230471.77999877929000000018 2015-10-1569.33999633771.7799987
71.209999084472671.98999786376000000015 2015-10-160000000072.571.9899978
71.522003173828172.65000152587000000010 2015-10-1971.80000305172.6500015
71.550003051757871.79000091552000000011 2015-10-2072.98999786371.7900009
68.889999389648469.48000335693000000016 2015-10-2171.79000091569.4800033
70.069999694824270.98999786376000000010 2015-10-2270.16000366270.9899978
72.839996337890675.62000274658000000022 2015-10-2373.98000335675.6200027
75.129997253417976.34999847412000000024 2015-10-2675.44000244176.3499984
76.349998474121179.44000244140000000050 2015-10-2776.34999847479.4400024
79.199996948242182.34999847412000000025 2015-10-2879.48000335682.3499984
80.819999694824282.22000122070000000016 2015-10-2981.97000122082.2200012
82.599998474121183.83000183105000000020 2015-10-3082.69999694883.8300018
0000000000082.7584.34999847412000000013 2015-11-0283.51999664384.3499984
83.129997253417983.44000244140000000011 2015-11-0300000000008483.4400024
84.029998779296885.40000152587000000023 2015-11-0484.44999694885.4000015
84.199996948242185.37999725341000000020 2015-11-0585.22000122085.3799972
80.769996643066483.61000061035000000038 2015-11-0685.52999877983.6100006
80.220001220703181.37999725341000000019 2015-11-0983.44000244181.3799972
79.620002746582081.43000030517000000022 2015-11-1081.09999847481.4300003
78.120002746582079.84999847412000000029 2015-11-1182.27999877979.8499984
78.449996948242178.76000213623000000018 2015-11-1278.98999786378.7600021
75.639999389648475.84999847412000000024 2015-11-1377.15000152575.8499984
75.769996643066478.30000305175000000017 2015-11-1675.83000183178.3000030
77.470001220703178.12999725341000000012 2015-11-1778.90000152578.1299972
76.150001525878977.69000244140000000016 2015-11-18000000078.2577.6900024
77.402999877929677.87000274658000000015 2015-11-1978.05999755877.8700027
78.400001525878979.94999694824000000021 2015-11-2078.44000244179.9499969
79.970001220703181.30999755859000000018 2015-11-2380.44999694881.3099975
79.269996643066480.86000061035000000015 2015-11-2480.84999847480.8600006
80.819999694824281.70999908447000000016 2015-11-2580.91000366281.7099990
79.275001525878981.37999725341000000012 2015-11-2780.56999969481.3799972
81.379997253417984.08000183105000000097 2015-11-300000000081.584.0800018
00000000000083.500000000000084000000026 2015-12-0183.7699966430000000084
0000000000084.2500000000000085000000036 2015-12-0284.2699966430000000085
82.099998474121182.58999633789000000023 2015-12-0385.05000305182.5899963
82.419998168945384.84999847412000000015 2015-12-0482.58000183184.8499984
84.199996948242184.76000213623000000011 2015-12-0784.80000305184.7600021
82.610000610351584.37999725341000000014 2015-12-0882.76999664384.3799972
82.970001220703183.41999816894000000021 2015-12-0984.37000274683.4199981
82.849998474121184.33000183105000000010 2015-12-1083.33999633784.3300018
79.421997070312579.73999786376000000020 2015-12-1182.84999847479.7399978
78.989997863769580.56999969482000000012 2015-12-1480.15000152580.5699996
80.900001525878982.48999786376000000013 2015-12-1581.05999755882.4899978
82.995002746582084.62999725341000000016 2015-12-1683.30000305184.6299972
82.849998474121183.55999755859000000013 2015-12-1700000000008583.5599975
82.029998779296882.65000152587000000012 2015-12-1883.19999694882.6500015
82.430000305175782.87000274658000000008 2015-12-2183.15000152582.8700027
82.889999389648484.83999633789000000012 2015-12-2282.88999938984.8399963
83.720001220703184.80000305175000000011 2015-12-2385.05000305184.8000030
83.410003662109383.70999908447000000003 2015-12-2484.55999755883.7099990
81.519996643066482.13999938964000000009 2015-12-2882.55999755882.1399993
82.410003662109383.26000213623000000006 2015-12-290000000082.583.2600021
00000000000081.581.68000030517000000006 2015-12-3082.94999694881.6800003
0000000000081.2581.26999664306000000006 2015-12-3181.48000335681.2699966
75.180000305175776.69000244140000000023 2016-01-0478.18000030576.6900024
77.260002136230478.62999725341000000014 2016-01-0577.91999816878.6299972
76.970001220703177.33000183105000000011 2016-01-0677.12000274677.3300018
71.540000915527372.72000122070000000027 2016-01-0773.29000091572.7200012
70.669998168945370.80000305175000000020 2016-01-0874.33000183170.8000030
69.019996643066469.91999816894000000016 2016-01-1171.29000091569.9199981
000000000000007172.68000030517000000013 2016-01-1271.44999694872.6800003
70.220001220703170.29000091552000000012 2016-01-1372.76999664370.2900009
68.269996643066400000000072.25000000017 2016-01-1470.2900009150000072.25
67.541000366210969.58999633789000000020 2016-01-1568.69999694869.5899963
69.809997558593770.12999725341000000017 2016-01-1971.94000244170.1299972
65.339996337890668.70999908447000000019 2016-01-2068.02500152568.7099990
67.143997192382870.72000122070000000016 2016-01-2168.77999877970.7200012
69.889999389648470.37000274658000000015 2016-01-2272.51000213670.3700027
69.019996643066469.72000122070000000014 2016-01-2570.80000305169.7200012
68.879997253417969.76999664306000000011 2016-01-2669.01000213669.7699966
68.745002746582069.54000091552000000018 2016-01-2769.95999908469.5400009
66.669998168945366.91999816894000000033 2016-01-2872.55000305166.9199981
65.400001525878967.02999877929000000025 2016-01-2967.98000335667.0299987
65.349998474121167.02999877929000000016 2016-02-010000000066.567.0299987
64.660003662109365.08999633789000000019 2016-02-0267.05000305165.0899963
60.869998931884763.43999862670000000031 2016-02-0365.59999847463.4399986
63.099998474121064.86000061035000000022 2016-02-0464.33000183164.8600006
62.180000305175762.63999938964000000012 2016-02-0564.70999908462.6399993
60.450000762939461.09999847412000000016 2016-02-0860.90000152561.0999984
0000000000059.2561.38999938964000000012 2016-02-0960.11000061061.3899993
60.869998931884761.77999877929000000008 2016-02-1061.90000152561.7799987
59.849998474121060.56999969482000000015 2016-02-11000000060.2560.5699996
60.279998779296860.88999938964000000013 2016-02-1261.27000045760.8899993
64.040000915527366.29000091552000000021 2016-02-1664.41999816866.2900009
65.680000305175766.37999725341000000014 2016-02-1767.30000305166.3799972
66.230003356933666.51999664306000000014 2016-02-1800000000006766.5199966
66.089996337890667.27999877929000000012 2016-02-1966.80000305167.2799987
67.980003356933668.83999633789000000013 2016-02-2268.30000305168.8399963
66.464996337890666.97000122070000000012 2016-02-230000000068.566.9700012
65.209999084472667.23000335693000000010 2016-02-2466.16999816867.2300033
64.660003662109366.66000366210000000014 2016-02-2565.66999816866.6600036
66.860000610351566.91000366210000000012 2016-02-2668.08999633766.9100036
67.559997558593768.80999755859000000017 2016-02-2967.63999938968.8099975
69.860000610351570.86000061035000000014 2016-03-0170.01999664370.8600006
0000000000070.7500000000071.25000000010 2016-03-0272.0400009150000071.25
70.459999084472671.01999664306000000011 2016-03-0371.30999755871.0199966
70.720001220703172.22000122070000000010 2016-03-0470.95999908472.2200012
000000000000007272.88999938964000000011 2016-03-0772.19999694872.8899993
70.959999084472671.06999969482000000008 2016-03-0872.40000152571.0699996
