0.073784723877900.058243770152000000940 1990-02-160000000000000.07725694
0.074652776122090.060207027941000000151 1990-02-200000000000000.07986111
0.075520835816860.058898180723000000070 1990-02-21000000000000000.078125
0.078993052244180.059552606195000000045 1990-02-220000000000000.07899305
000000000.0781250.059225387871000000044 1990-02-230000000000000.07855902
0.076388888061040.057589333504000000026 1990-02-260000000000000.07638888
0.076388888061040.058898180723000000025 1990-02-27000000000000000.078125
000000000.0781250.060861464589000000067 1990-02-280000000000000.08072916
0.079861111938950.060207027941000000028 1990-03-010000000000000.07986111
0.079861111938950.060861464589000000008 1990-03-020000000000000.08072916
0.079861111938950.060207027941000000002 1990-03-050000000000000.07986111
0.078993052244180.060207027941000000023 1990-03-060000000000000.07986111
0.077256947755810.058898180723000000018 1990-03-07000000000000000.078125
0.077256947755810.058243770152000000033 1990-03-080000000000000.07725694
0.077256947755810.058243770152000000011 1990-03-090000000000000.07725694
0.077256947755810.059552606195000000020 1990-03-120000000000000.07899305
0.078993052244180.061515882611000000053 1990-03-130000000000000.08159722
0.081597223877900.068060114979000000087 1990-03-140000000000000.09027777
0.085069447755810.064787998795000000038 1990-03-1500000000000000.0859375
00000000.08593750.066096857190000000019 1990-03-160000000000000.08767361
0.085069447755810.068060114979000000043 1990-03-190000000000000.09027777
0.082465276122090.062170315533000000043 1990-03-200000000000000.08246527
0.082465276122090.062824726104000000019 1990-03-210000000000000.08333333
0.077256947755810.058898180723000000043 1990-03-22000000000000000.078125
000000000.0781250.060861464589000000016 1990-03-230000000000000.08072916
0.081597223877900.063479155302000000041 1990-03-260.08246527610.08420138
0.082465276122090.064787998795000000015 1990-03-270.083333335800.0859375
0.085069447755810.064133562147000000009 1990-03-280000.08593750.08506944
0.083333335816860.064133562147000000016 1990-03-290.08506944770.08506944
0.079861111938950.061515882611000000028 1990-03-300.08333333580.08159722
0.077256947755810.060207027941000000015 1990-04-020.07899305220.07986111
0.078993052244180.060861464589000000008 1990-04-030.07899305220.08072916
0.080729164183130.060861464589000000014 1990-04-040.08072916410.08072916
0.079861111938950.060534246265000000008 1990-04-050.08159722380.08029513
0.078993052244180.059552606195000000010 1990-04-060.07986111190.07899305
000000000.0781250.058898180723000000006 1990-04-090.0798611119000.078125
0.074652776122090.057589333504000000034 1990-04-1000000.0781250.07638888
0.075520835816860.057589333504000000024 1990-04-110.07638888800.07638888
0.075520835816860.058243770152000000013 1990-04-120.07725694770.07725694
0.076388888061040.058243770152000000005 1990-04-160.07725694770.07725694
0.075520835816860.058898180723000000006 1990-04-170.0763888880000.078125
0.077256947755810.059552606195000000024 1990-04-1800000.0781250.07899305
000000000.0781250.060207027941000000025 1990-04-1900000.0781250.07986111
0.077256947755810.058243770152000000008 1990-04-200.07986111190.07725694
0.076388888061040.058898180723000000005 1990-04-230.0772569477000.078125
0.078993052244180.059879809617000000010 1990-04-240.07986111190.07942708
0.079861111938950.060207027941000000006 1990-04-250.07986111190.07986111
0.079861111938950.060207027941000000010 1990-04-260.07986111190.07986111
0.078993052244180.059552606195000000004 1990-04-270.07986111190.07899305
0.079861111938950.062170315533000000034 1990-04-300.08072916410.08246527
0.082465276122090.063151948153000000028 1990-05-010.08420138800.08376736
0.082465276122090.062170315533000000003 1990-05-020.08333333580.08246527
0.083333335816860.064133562147000000007 1990-05-030.08420138800.08506944
0.084201388061040.064787998795000000005 1990-05-040.084201388000.0859375
00000000.08593750.065442405641000000013 1990-05-070000.08593750.08680555
00000000.08593750.066096857190000000014 1990-05-080.08854166410.08767361
0.085069447755810.064787998795000000009 1990-05-090.087673611900.0859375
0.085069447755810.064133562147000000002 1990-05-100.08680555220.08506944
0.085069447755810.064787998795000000029 1990-05-110.088541664100.0859375
00000000.08593750.064787998795000000015 1990-05-140.087673611900.0859375
00000000.08593750.065115220844000000024 1990-05-150.08767361190.08637152
0.085069447755810.064787998795000000018 1990-05-160.087673611900.0859375
00000000.08593750.065442405641000000006 1990-05-170.08680555220.08680555
0.084201388061040.064133562147000000045 1990-05-180000.08593750.08506944
0.084201388061040.064133562147000000004 1990-05-210.08420138800.08506944
0.085069447755810.064133562147000000022 1990-05-220.08506944770.08506944
0.084201388061040.063479155302000000039 1990-05-230.08506944770.08420138
0.084201388061040.064787998795000000008 1990-05-240000.085937500.0859375
0.082465276122090.062824726104000000004 1990-05-250.08333333580.08333333
0.081597223877900.062170315533000000020 1990-05-290.08333333580.08246527
0.080729164183130.061515882611000000096 1990-05-300.08333333580.08159722
0.080729164183130.064787998795000000102 1990-05-310.080729164100.0859375
0.085069447755810.065442405641000000103 1990-06-010000.08593750.08680555
00000000.08593750.067405700683000000048 1990-06-040.08767361190.08940972
0.088541664183130.070023387670000000056 1990-06-050.08854166410.09288194
0.090277776122090.069368951022000000023 1990-06-060.09288194770.09201388
0.088541664183130.067405700683000000018 1990-06-070.09288194770.08940972
0.086805552244180.066096857190000000006 1990-06-080.09027777610.08767361
0.085069447755810.065769650042000000003 1990-06-110.08506944770.08723958
0.086805552244180.071986675262000000133 1990-06-120.08767361190.09548611
0.096354164183130.072641074657000000052 1990-06-130.09722222380.09635416
0.095486111938950.073295511305000000054 1990-06-140.09722222380.09722222
0.095486111938950.071986675262000000006 1990-06-150.09548611190.09548611
0.092013888061040.070677809417000000011 1990-06-180.09722222380000.09375
0.090277776122090.070023387670000000020 1990-06-190.09027777610.09288194
0.092013888061040.070677809417000000030 1990-06-200.09288194770000.09375
0.092013888061040.071332238614000000009 1990-06-210.09288194770.09461805
0.092881947755810.071332238614000000000 1990-06-220.09461805220.09461805
