000000000000003838.22999954223000000573 2012-05-1842.04999923738.2299995
000000000000003334.02999877929000000168 2012-05-2136.52999877934.0299987
30.940000534057600000000000031000000101 2012-05-2232.6100006100000000031
31.360000610351500000000000032000000073 2012-05-2331.3700008390000000032
31.770000457763633.02999877929000000050 2012-05-2432.95000076233.0299987
31.110000610351531.90999984741000000037 2012-05-2532.90000152531.9099998
28.649999618530228.84000015258000000078 2012-05-2931.47999954228.8400001
27.860000610351528.19000053405000000057 2012-05-3028.70000076228.1900005
26.829999923706029.60000038146000000111 2012-05-3128.54999923729.6000003
27.389999389648427.71999931335000000041 2012-06-0128.88999938927.7199993
26.440000534057626.89999961853000000035 2012-06-0427.20000076226.8999996
0000000000025.7525.87000083923000000042 2012-06-0526.70000076225.8700008
25.520000457763626.80999946594000000061 2012-06-0626.06999969426.8099994
26.149999618530226.30999946594000000026 2012-06-0700000000002726.3099994
26.440000534057627.10000038146000000038 2012-06-0826.54999923727.1000003
26.840000152587827.01000022888000000028 2012-06-1127.18000030527.0100002
26.959999084472627.39999961853000000015 2012-06-1227.47999954227.3999996
27.100000381469727.27000045776000000017 2012-06-1327.65999984727.2700004
27.379999160766628.29000091552000000016 2012-06-1427.64999961828.2900009
28.350000381469730.01000022888000000043 2012-06-1528.51000022830.0100002
29.409999847412131.40999984741000000042 2012-06-1829.95999908431.4099998
30.700000762939431.90999984741000000030 2012-06-1931.54000091531.9099998
31.149999618530231.60000038146000000015 2012-06-2031.92000007631.6000003
31.510000228881831.84000015258000000021 2012-06-2131.67000007631.8400001
32.060001373291033.04999923706000000074 2012-06-2232.40999984733.0499992
31.549999237060532.06000137329000000024 2012-06-2532.86000061032.0600013
00000000000032.533.09999847412000000024 2012-06-2632.68999862633.0999984
31.899999618530232.22999954223000000028 2012-06-2732.45999908432.2299995
30.899999618530231.36000061035000000017 2012-06-2831.95999908431.3600006
30.760000228881831.10000038146000000019 2012-06-2931.92000007631.1000003
30.549999237060530.77000045776000000014 2012-07-02000000031.2530.7700004
30.799999237060531.20000076293000000008 2012-07-0330.90999984731.2000007
31.020000457763631.46999931335000000010 2012-07-0531.31999969431.4699993
31.260000228881831.72999954223000000010 2012-07-0631.44000053431.7299995
31.989999771118132.16999816894000000017 2012-07-0932.09999847432.1699981
31.159999847412131.46999931335000000014 2012-07-1032.43000030531.4699993
30.549999237060530.96999931335000000013 2012-07-1131.47999954230.9699993
30.600000381469730.80999946594000000011 2012-07-1230.70000076230.8099994
30.559999465942330.71999931335000000008 2012-07-1331.04000091530.7199993
28.209999084472600000000028.25000000024 2012-07-160000000030.50000028.25
27.149999618530228.09000015258000000030 2012-07-1728.47999954228.0900001
28.149999618530229.11000061035000000016 2012-07-1828.30999946529.1100006
28.629999160766600000000000029000000013 2012-07-1929.4099998470000000029
28.719999313354428.76000022888000000011 2012-07-2000000000002928.7600002
28.010000228881800000000028.75000000012 2012-07-2328.1200008390000028.75
28.100000381469728.45000076293000000011 2012-07-2428.81999969428.4500007
28.079999923706029.34000015258000000017 2012-07-2528.38999938929.3400001
26.729999542236326.85000038146000000064 2012-07-26000000027.7526.8500003
22.280000686645523.70999908447000000123 2012-07-2723.19000053423.7099990
23.030000686645523.14999961853000000029 2012-07-3000000000002423.1499996
21.610000610351521.70999908447000000056 2012-07-3123.37000083921.7099990
20.840000152587820.87999916076000000044 2012-08-010000000021.520.8799991
19.819999694824220.04000091552000000056 2012-08-0220.77000045720.0400009
19.899999618530221.09000015258000000080 2012-08-0320.36000061021.0900001
21.299999237060521.92000007629000000027 2012-08-0621.38999938921.9200000
00000000000020.520.71999931335000000036 2012-08-0722.20000076220.7199993
20.219999313354420.71999931335000000029 2012-08-0820.70999908420.7199993
20.610000610351521.01000022888000000015 2012-08-09000000020.7521.0100002
21.129999160766621.80999946594000000025 2012-08-1021.40999984721.8099994
21.399999618530221.60000038146000000024 2012-08-1322.14999961821.6000003
0000000000020.2520.37999916076000000039 2012-08-1421.40999984720.3799991
20.399999618530221.20000076293000000047 2012-08-1520.63999938921.2000007
19.690000534057619.87000083923000000157 2012-08-1620.44000053419.8700008
000000000000001919.04999923706000000129 2012-08-1720.01000022819.0499992
0000000000018.7520.01000022888000000101 2012-08-2019.04999923720.0100002
19.090000152587819.15999984741000000070 2012-08-2119.57999992319.1599998
18.959999084472619.44000053405000000049 2012-08-2219.36000061019.4400005
19.360000610351519.44000053405000000032 2012-08-230000000019.519.4400005
0000000000019.2519.40999984741000000029 2012-08-2419.52000045719.4099998
19.100000381469719.14999961853000000020 2012-08-2719.48999977119.1499996
18.950000762939419.34000015258000000025 2012-08-2819.10000038119.3400001
19.069999694824219.10000038146000000016 2012-08-2919.31999969419.1000003
19.059999465942319.09000015258000000030 2012-08-3019.27000045719.0900001
18.030000686645518.05999946594000000058 2012-08-3118.68000030518.0599994
17.549999237060517.72999954223000000046 2012-09-0418.07999992317.7299995
18.180000305175718.57999992370000000060 2012-09-0518.27000045718.5799999
18.719999313354418.95999908447000000046 2012-09-0618.73999977118.9599990
18.780000686645518.97999954223000000036 2012-09-0719.10000038118.9799995
18.549999237060518.80999946594000000024 2012-09-1019.05999946518.8099994
18.850000381469719.43000030517000000050 2012-09-1118.92000007619.4300003
20.280000686645520.93000030517000000121 2012-09-1220.76000022820.9300003
20.610000610351520.70999908447000000065 2012-09-1320.95999908420.7099990
20.899999618530200000000000022000000072 2012-09-1421.1299991600000000022
00000000000021.521.52000045776000000050 2012-09-1722.67000007621.5200004
21.370000839233421.87000083923000000036 2012-09-1821.60000038121.8700008
21.770000457763623.29000091552000000078 2012-09-1921.98999977123.2900009
22.540000915527322.59000015258000000057 2012-09-2023.02000045722.5900001
22.600000381469722.86000061035000000051 2012-09-2122.96999931322.8600006
20.360000610351520.79000091552000000079 2012-09-2421.78000068620.7900009
20.219999313354420.28000068664000000046 2012-09-2521.20000076220.2800006
19.799999237060520.62000083923000000038 2012-09-2620.14999961820.6200008
20.159999847412120.31999969482000000030 2012-09-2720.98999977120.3199996
00000000000020.521.65999984741000000065 2012-09-2820.56999969421.6599998
