0.743689894676200.001775989192000000002 1962-01-020.75120192760.74869793
0.738681912422180.001758171594000000001 1962-01-030.74494189020.74118590
0.726161837577810.001737380283000000001 1962-01-040.74118590350.73242187
0.701121807098380.001692832796000000002 1962-01-0500.7324218750.71364182
0.691105782985680.001689864438000000003 1962-01-080.71364182230.71238982
0.707381784915920.001698773121000000002 1962-01-090.71238982670.71614581
0.713641822338100.001707682735000000001 1962-01-100.71614581340.71990185
0.707381784915920.001710653305000000001 1962-01-110.71990185970.72115385
0.708633840084070.001686892821000000001 1962-01-120.72115385530.71113783
0.712389826774590.001704712864000000002 1962-01-150.71238982670.71864986
0.713641822338100.001719561754000000001 1962-01-160.71864986410.72490984
0.703625798225400.001680954126000000002 1962-01-170.72365784640.70863384
0.707381784915920.001698773121000000001 1962-01-180.70863384000.71614581
0.716145813465110.001713623525000000001 1962-01-190.71614581340.72240585
0.723657846450800.001719561754000000001 1962-01-220.72365784640.72490984
0.708633840084070.001686892821000000002 1962-01-230.72240585080.71113783
0.708633840084070.001719561754000000001 1962-01-240.71113783120.72490984
0.712389826774590.001701742876000000001 1962-01-250.72490984200.71739780
0.712389826774590.001695804647000000001 1962-01-260.71739780900.71489381
0.713641822338100.001698773121000000001 1962-01-290.71489381790.71614581
0.724909842014310.001728471717000000001 1962-01-300.72490984200.72866588
0.727413833141320.001781931146000000001 1962-01-310.72866588830.75120192
0.738681912422180.001770051429000000002 1962-02-010.75120192760.74619388
0.741185903549190.001778960227000000001 1962-02-020.74619388580.74994993
0.736177861690520.001746291411000000001 1962-02-050.74869793650.73617786
0.738681912422180.001764111802000000001 1962-02-060.73868191240.74368989
0.741185903549190.001781931146000000001 1962-02-070.74368989460.75120192
0.749949932098380.001793810282000000001 1962-02-080.75120192760.75620990
0.742437899112700.001784900552000000001 1962-02-090.75620990990.75245392
0.748697936534880.001784900552000000000 1962-02-120.75245392320.75245392
0.753705918788900.001805689069000000001 1962-02-130.75370591870.76121795
0.759965956211090.001820539589000000001 1962-02-140.76121795170.76747798
0.768729984760280.001847267616000000001 1962-02-150.76872998470.77874600
0.767477989196770.001835389062000000002 1962-02-160.77874600880.77373796
0.763721942901610.001820539589000000001 1962-02-190.77373796700.76747798
0.756209909915920.001817567972000000001 1962-02-200.76747798910.76622593
0.758713960647580.001811628695000000001 1962-02-210.76622593400.76372194
0.754957914352410.001793810282000000001 1962-02-230.76372194290.75620990
0.739933907985680.001770051429000000001 1962-02-260.75620990990.74619388
0.744941890239710.001781931146000000000 1962-02-270.74619388580.75120192
0.744941890239710.001773020019000000001 1962-02-280.75120192760.74744594
0.751201927661890.001805689069000000000 1962-03-010.75120192760.76121795
0.762469947338100.001817567972000000001 1962-03-020.76246994730.76622593
0.767477989196770.001820539589000000001 1962-03-050.76747798910.76747798
0.753705918788900.001793810282000000000 1962-03-060.76747798910.75620990
0.756209909915920.001805689069000000001 1962-03-070.75620990990.76121795
0.758713960647580.001832418492000000001 1962-03-080.76121795170.77248597
0.776241958141320.001859146286000000001 1962-03-090.77624195810.78375399
0000000000.781250.001862118369000000002 1962-03-120.78375399110.78500598
0.776241958141320.001865110592000000001 1962-03-130.78500598660000.78125
0.772485971450800.001856145565000000001 1962-03-14000000.781250.77749401
0.773737967014310.001862122444000000001 1962-03-150.77749401330.77999800
0000000000.781250.001874078763000000001 1962-03-16000000.781250.78500598
0.776241958141320.001853154855000000001 1962-03-190.78500598660.77624195
0.773737967014310.001853154855000000000 1962-03-200.77624195810.77624195
0.773737967014310.001850165659000000001 1962-03-210.77624195810.77498996
0.771233975887290.001841200399000000001 1962-03-220.77498996250.77123397
0.772485971450800.001865110592000000001 1962-03-230.77248597140000.78125
0.768729984760280.001835222938000000001 1962-03-260.77999800440.76872998
0.766225934028620.001850165659000000001 1962-03-270.76872998470.77498996
0.776241958141320.001862122444000000001 1962-03-280.77624195810.77999800
