0.325520843267440.202226459980000000010 1980-03-170.32552084320.32552084
0.322916656732550.200608700513000000017 1980-03-180.32552084320.32291665
0.330729156732550.205462023615000000018 1980-03-190.33072915670.33072915
0.329427093267440.204653277993000000011 1980-03-200.33072915670.32942709
0.317708343267440.197373047471000000012 1980-03-210.32291665670.31770834
0.311197906732550.193328455090000000008 1980-03-24000.316406250.31119790
00000000000.31250.194137379527000000011 1980-03-250000000.312500000.3125
0.309895843267440.192519620060000000016 1980-03-260000000.31250.30989584
0.299479156732550.186048254370000000026 1980-03-270000.30468750.29947915
0.311197906732550.193328455090000000020 1980-03-280.31119790670.31119790
0.321614593267440.199799731373000000009 1980-03-310.32161459320.32161459
0.322916656732550.200608700513000000008 1980-04-010.32291665670.32291665
0.325520843267440.202226459980000000012 1980-04-020.32552084320.32552084
0.319010406732550.198181852698000000006 1980-04-03000.324218750.31901040
0.311197906732550.193328455090000000013 1980-04-07000.316406250.31119790
00000000000.31250.194137379527000000029 1980-04-080000000.312500000.3125
0.305989593267440.190092831850000000011 1980-04-090.31119790670.30598959
00000000.30468750.189283981919000000014 1980-04-100.305989593200.3046875
00000000.30468750.189283981919000000009 1980-04-110000.304687500.3046875
0.307291656732550.190901756286000000008 1980-04-140.30729165670.30729165
0.303385406732550.188475042581000000010 1980-04-150.30729165670.30338540
0.291666656732550.181194826960000000010 1980-04-1600000.2968750.29166665
0.286458343267440.177959293127000000017 1980-04-170.29166665670.28645834
0.290364593267440.180385962128000000018 1980-04-180.29036459320.29036459
0.287760406732550.178768128156000000009 1980-04-210.29036459320.28776040
0000000.300781250.186857119202000000020 1980-04-22000.300781250.30078125
0.319010406732550.198181852698000000014 1980-04-230.31901040670.31901040
00000000.32031250.198990806937000000008 1980-04-240000.320312500.3203125
0.315104156732550.195755153894000000007 1980-04-250000.32031250.31510415
00000000000.31250.194137379527000000006 1980-04-280.315104156700000.3125
0.315104156732550.195755153894000000006 1980-04-290.31510415670.31510415
0.319010406732550.198181852698000000007 1980-04-300.31901040670.31901040
00000000.32031250.198990806937000000007 1980-05-010000.320312500.3203125
0.325520843267440.202226459980000000005 1980-05-020.32552084320.32552084
0.329427093267440.204653277993000000003 1980-05-050.32942709320.32942709
000000000.3281250.203844234347000000006 1980-05-060.3294270932000.328125
000000000.3281250.203844234347000000006 1980-05-0700000.328125000.328125
0000000.324218750.201417490839000000007 1980-05-0800000.3281250.32421875
000000000.3281250.203844234347000000016 1980-05-0900000.328125000.328125
0.326822906732550.203035414218000000008 1980-05-1200000.3281250.32682290
0.333333343267440.207079946994000000007 1980-05-130.33333334320.33333334
0.338541656732550.210315451025000000004 1980-05-140.33854165670.33854165
0.341145843267440.211933240294000000008 1980-05-150.34114584320.34114584
0.345052093267440.214360132813000000004 1980-05-160.34505209320.34505209
0.346354156732550.215168938040000000008 1980-05-190.34635415670.34635415
0.342447906732550.212742060422000000021 1980-05-200.34635415670.34244790
0.334635406732550.207888752222000000010 1980-05-21000.339843750.33463540
0.330729156732550.205462023615000000005 1980-05-220.33463540670.33072915
0.342447906732550.212742060422000000029 1980-05-230.34244790670.34244790
0.341145843267440.211933240294000000008 1980-05-270.34244790670.34114584
0.348958343267440.216786757111000000006 1980-05-280.34895834320.34895834
0.348958343267440.216786757111000000007 1980-05-290.34895834320.34895834
0.354166656732550.220022395253000000005 1980-05-300.35416665670.35416665
0000000.355468750.220831260085000000006 1980-06-02000.355468750.35546875
0.346354156732550.215168938040000000015 1980-06-030000.35156250.34635415
00000000.35156250.218404501676000000007 1980-06-040000.351562500.3515625
00000000.35156250.218404501676000000006 1980-06-050000.351562500.3515625
0.348958343267440.216786757111000000028 1980-06-060000.35156250.34895834
0.346354156732550.215168938040000000007 1980-06-090.34895834320.34635415
0.350260406732550.217595621943000000017 1980-06-100.35026040670.35026040
0.354166656732550.220022395253000000003 1980-06-110.35416665670.35416665
0.348958343267440.216786757111000000010 1980-06-120.35416665670.34895834
0.348958343267440.216786757111000000003 1980-06-130.34895834320.34895834
0.348958343267440.216786757111000000007 1980-06-160.34895834320.34895834
0000000.347656250.215977832674000000012 1980-06-170.34895834320.34765625
0.345052093267440.214360132813000000008 1980-06-18000.347656250.34505209
0.338541656732550.210315451025000000013 1980-06-19000000.343750.33854165
0000000.339843750.211124449968000000007 1980-06-20000.339843750.33984375
0000000.339843750.211124449968000000009 1980-06-23000.339843750.33984375
0000000.339843750.211124449968000000009 1980-06-24000.339843750.33984375
0000000000.343750.213551148772000000015 1980-06-25000000.343750000.34375
0000000000.343750.213551148772000000010 1980-06-26000000.343750000.34375
0.345052093267440.214360132813000000006 1980-06-270.34505209320.34505209
0.342447906732550.212742060422000000005 1980-06-300.34505209320.34244790
0000000.347656250.215977832674000000009 1980-07-01000.347656250.34765625
0.350260406732550.217595621943000000006 1980-07-020.35026040670.35026040
0.352864593267440.219213515520000000004 1980-07-030.35286459320.35286459
0.365885406732550.227302566170000000019 1980-07-070.36588540670.36588540
0.373697906732550.232156008481000000013 1980-07-080.37369790670.37369790
0.373697906732550.232156008481000000009 1980-07-090.37369790670.37369790
0000000.378906250.235391557216000000014 1980-07-10000.378906250.37890625
0.377604156732550.234582737088000000009 1980-07-11000.378906250.37760415
0.381510406732550.237009271979000000015 1980-07-140.38151040670.38151040
0.393229156732550.244289562106000000020 1980-07-150.39322915670.39322915
0.399739593267440.248334109783000000011 1980-07-160.39973959320.39973959
0.408854156732550.253996312618000000015 1980-07-170.40885415670.40885415
0.419270843267440.260467737913000000012 1980-07-180.41927084320.41927084
0.419270843267440.260467737913000000014 1980-07-210.41927084320.41927084
00000000.41406250.257231980562000000014 1980-07-220.416666656700.4140625
0000000.410156250.254805117845000000008 1980-07-230.41145834320.41015625
0.407552093267440.253187328577000000011 1980-07-240.40885415670.40755209
0.403645843267440.250760734081000000022 1980-07-250.40494790670.40364584
0.407552093267440.253187328577000000007 1980-07-280.40755209320.40755209
0000000.425781250.264512240886000000011 1980-07-29000.425781250.42578125
0.438802093267440.272601276636000000012 1980-07-300.43880209320.43880209
0000000.441406250.274219006299000000024 1980-07-31000.441406250.44140625
0.434895843267440.270174443721000000009 1980-08-010.43880209320.43489584
