0.088541664183130.062055002897000001031 1986-03-130.08854166410.09722222
0.097222223877900.064271286129000000308 1986-03-140.09722222380.10069444
0.100694447755810.065379425883000000133 1986-03-170.10069444770.10243055
0.098958335816860.063717216253000000067 1986-03-180.10243055220.09982638
0.097222223877900.062609083950000000047 1986-03-190.09982638800.09809027
0.094618052244180.060946874320000000058 1986-03-200.09809027610.09548611
0.091145835816860.059284713119000000059 1986-03-210.09548611190.09288194
0.089409723877900.057622518390000000065 1986-03-240.09288194770.09027777
0.089409723877900.058730632066000000032 1986-03-250.09027777610.09201388
0.091145835816860.060392815619000000022 1986-03-260.09201388800.09461805
0.094618052244180.061500951647000000016 1986-03-270.09461805220.09635416
0000000000.093750.060946874320000000012 1986-03-310.09635416410.09548611
0.094618052244180.060392815619000000011 1986-04-010.09548611190.09461805
0.094618052244180.060946874320000000027 1986-04-020.09461805220.09548611
0.096354164183130.061500951647000000023 1986-04-030.09635416410.09635416
0.096354164183130.061500951647000000026 1986-04-040.09635416410.09635416
0.092881947755810.060392815619000000016 1986-04-070.09635416410.09461805
0.094618052244180.060946874320000000010 1986-04-080.09461805220.09548611
0.095486111938950.062055002897000000012 1986-04-090.09548611190.09722222
0.095486111938950.062609083950000000013 1986-04-100.09722222380.09809027
0.098958335816860.063717216253000000017 1986-04-110.09895833580.09982638
0.099826388061040.064271286129000000012 1986-04-140.09982638800.10069444
0.097222223877900.064271286129000000009 1986-04-150.10069444770.10069444
0.099826388061040.066487520933000000031 1986-04-160.10069444770.10416666
0.104166664183130.067041605710000000022 1986-04-170.10416666410.10503472
0.100694447755810.064825341105000000021 1986-04-180.105034723800.1015625
0.098958335816860.064825341105000000022 1986-04-210000.101562500.1015625
0.099826388061040.063717216253000000015 1986-04-220000.10156250.09982638
0.098958335816860.063994251191000000015 1986-04-230.09982638800.10026041
0.099826388061040.070365980267000000062 1986-04-240.10026041410.11024305
0.111111111938950.074798457324000000085 1986-04-250.111111111900.1171875
0.116319447755810.075352504849000000028 1986-04-280000.11718750.11805555
0.113715276122090.073136292397000000030 1986-04-290.11805555220.11458333
000000000.1093750.071474090218000000030 1986-04-300.11458333580.11197916
0.108506947755810.070365980267000000054 1986-05-010.11197916410.11024305
000000000.1093750.070365980267000000020 1986-05-020.11024305220.11024305
000000000.1093750.069811895489000000003 1986-05-050.1102430522000.109375
0.110243052244180.070365980267000000009 1986-05-060.11024305220.11024305
0.108506947755810.070365980267000000005 1986-05-070.11024305220.11024305
000000000.1093750.070920027792000000003 1986-05-080.11024305220.11111111
0.110243052244180.070365980267000000006 1986-05-090.11111111190.11024305
0.110243052244180.070920027792000000010 1986-05-120.11024305220.11111111
0.111111111938950.071474090218000000003 1986-05-130.11111111190.11197916
0.111111111938950.070920027792000000009 1986-05-140.11197916410.11111111
0.111111111938950.070920027792000000003 1986-05-150.11111111190.11111111
0.111111111938950.071474090218000000011 1986-05-160.11111111190.11197916
000000000.1093750.070365980267000000011 1986-05-190.11197916410.11024305
0.108506947755810.069811895489000000061 1986-05-200.1102430522000.109375
0.107638888061040.068703748285000000008 1986-05-2100000.1093750.10763888
0.107638888061040.068703748285000000004 1986-05-220.10763888800.10763888
0.107638888061040.068703748285000000004 1986-05-230.10763888800.10763888
0.107638888061040.070920027792000000013 1986-05-270.10763888800.11111111
0.111111111938950.073136292397000000015 1986-05-280.11111111190.11458333
0.113715276122090.074798457324000000045 1986-05-290.114583335800.1171875
0.118055552244180.077568747103000000027 1986-05-300.11805555220.12152777
0.118055552244180.075352504849000000019 1986-06-020.12152777610.11805555
0.116319447755810.075352504849000000005 1986-06-030.11805555220.11805555
0.116319447755810.074798457324000000004 1986-06-040.118055552200.1171875
0.116319447755810.075906597077000000013 1986-06-050000.11718750.11892361
00000000.11718750.075906597077000000003 1986-06-060.11892361190.11892361
0.113715276122090.072582222521000000012 1986-06-090.11892361190.11371527
0.111979164183130.072582222521000000003 1986-06-100.11371527610.11371527
0.111979164183130.072582222521000000002 1986-06-110.11371527610.11371527
0.108506947755810.069811895489000000013 1986-06-120.1137152761000.109375
0.108506947755810.069811895489000000007 1986-06-1300000.109375000.109375
0.107638888061040.069257855415000000009 1986-06-1600000.1093750.10850694
000000000.1093750.070365980267000000013 1986-06-1700000.1093750.11024305
0.107638888061040.069811895489000000004 1986-06-180.1102430522000.109375
0.107638888061040.069257855415000000008 1986-06-1900000.1093750.10850694
0.108506947755810.069534868001000000003 1986-06-200.10850694770.10894097
0.106770835816860.070365980267000000046 1986-06-230.10894097380.11024305
0.108506947755810.069811895489000000014 1986-06-240.1102430522000.109375
0.107638888061040.068703748285000000015 1986-06-2500000.1093750.10763888
0.104166664183130.066487520933000000019 1986-06-260.10763888800.10416666
0.102430552244180.065933443605000000010 1986-06-270.10416666410.10329861
0.102430552244180.068149708211000000062 1986-06-300.10329861190.10677083
0.105902776122090.068149708211000000047 1986-07-010.10677083580.10677083
0.105902776122090.068149708211000000052 1986-07-020.10677083580.10677083
0.107638888061040.069257855415000000014 1986-07-030.10763888800.10850694
0.104166664183130.066487520933000000014 1986-07-070.10850694770.10416666
0.100694447755810.064825341105000000014 1986-07-080.104166664100.1015625
0.096354164183130.062055002897000000046 1986-07-090000.10156250.09722222
0.090277776122090.060392815619000000046 1986-07-100.09722222380.09461805
0.094618052244180.062055002897000000017 1986-07-110.09461805220.09722222
