1.552083373069761.508857250213000000067 1999-01-22000000001.75001.640625
000000001.6406251.666928172111000000012 1999-01-251.770833373000001.8125
1.645833373069761.537597417831000000008 1999-01-261.8333333730001.671875
1.583333373069761.532806873321000000006 1999-01-271.67708337301.66666662
1.651041626930231.528017401695000000005 1999-01-281.66666662691.66145837
1.583333373069761.456166982650000000006 1999-01-291.66145837301.58333337
1.583333373069761.484907031059000000003 1999-02-011.58333337301.61458337
1.442708373069761.369946360588000000006 1999-02-021.58333337301.48958337
1.458333373069761.398686766624000000001 1999-02-03000001.468751.52083337
1.520833373069761.475326776504000000004 1999-02-041.54166662691.60416662
1.588541626930231.518437385559000000003 1999-02-051.63020837301.65104162
0000000001.593751.465746760368000000003 1999-02-081.66145837300001.59375
1.510416626930231.408266663551000000002 1999-02-0900000001.6250001.53125
1.489583373069761.393896222114000000003 1999-02-10000001.53125001.515625
1.520833373069761.513646841049000000003 1999-02-111.52083337301.64583337
1.666666626930231.599867463111000000002 1999-02-121.66666662691.73958337
1.572916626930231.609447479248000000005 1999-02-161.77083337300000001.75
000000000001.6251.523227214813000000001 1999-02-171.70833337300001.65625
1.635416626930231.547177195549000000001 1999-02-181.70833337301.68229162
1.645833373069761.599867463111000000001 1999-02-191.66666662691.73958337
0000000001.656251.609447479248000000005 1999-02-221.77083337300000001.75
00000000001.68751.686088085174000000003 1999-02-231.79166662691.83333337
1.932291626930231.820208787918000000015 1999-02-242.10416674611.97916662
1.885416626930231.762728691101000000003 1999-02-250000002.06251.91666662
00000000001.81251.681298017501000000004 1999-02-260000001.9375001.828125
0000000000001.751.690877795219000000002 1999-03-0100000001.8751.83854162
1.791666626930231.676508188247000000001 1999-03-021.83333337301.82291662
00000000001.68751.561547279357000000001 1999-03-031.83333337301.69791662
1.645833373069761.528017401695000000001 1999-03-04000001.781251.66145837
1.677083373069761.614237546920000000001 1999-03-051.67708337301.75520837
1.677083373069761.638187646865000000001 1999-03-081.70833337300001.78125
1.776041626930231.690877795219000000003 1999-03-091.77604162691.83854162
0000000001.781251.662137746810000000005 1999-03-101.86458337301.80729162
1.729166626930231.590287446975000000001 1999-03-111.77604162691.72916662
1.666666626930231.561547279357000000002 1999-03-121.73958337301.69791662
1.729166626930231.628607749938000000002 1999-03-151.73958337301.77083337
1.697916626930231.575917482376000000001 1999-03-16000001.781251.71354162
1.682291626930231.585497498512000000001 1999-03-171.72916662691.72395837
00000000001.68751.604657530784000000001 1999-03-181.72916662691.74479162
1.739583373069761.609447479248000000002 1999-03-191.73958337300000001.75
1.697916626930231.561547279357000000000 1999-03-221.78645837301.69791662
00000000001.56251.465746760368000000004 1999-03-231.70833337300001.59375
1.520833373069761.456166982650000000001 1999-03-241.58333337301.58333337
1.572916626930231.475326776504000000001 1999-03-2500001.5781251.60416662
000000000001.6251.604657530784000000002 1999-03-2600000001.6251.74479162
000000001.7656251.652557849884000000001 1999-03-2900001.796875001.796875
1.635416626930231.513646841049000000001 1999-03-301.80208337301.64583337
1.619791626930231.619027614593000000003 1999-03-311.69791662691.76041662
1.677083373069761.571127295494000000000 1999-04-011.76041662691.70833337
1.645833373069761.523227214813000000002 1999-04-050000001.68750001.65625
1.583333373069761.484907031059000000001 1999-04-0600001.6718751.61458337
1.614583373069761.609447479248000000002 1999-04-0700000001.6250000001.75
1.739583373069761.638187646865000000003 1999-04-081.76041662690001.78125
1.739583373069761.609447479248000000001 1999-04-091.79166662690000001.75
1.645833373069761.542387485504000000000 1999-04-121.72916662691.67708337
1.583333373069761.480117440223000000000 1999-04-131.7083333730001.609375
00000000001.56251.437006592750000000001 1999-04-141.604166626900001.5625
00000000001.56251.475326776504000000000 1999-04-151.60416662691.60416662
0000000001.593751.523227214813000000000 1999-04-16000001.593750001.65625
00000000001.56251.456166982650000000000 1999-04-191.67708337301.58333337
1.536458373069761.427426695823000000001 1999-04-201.58333337301.55208337
1.541666626930231.451377272605000000000 1999-04-211.5520833730001.578125
1.494791626930231.389106512069000000005 1999-04-221.58333337301.51041662
