0.063271604478350.054379098117000000393 1986-03-120.06327160440.06327160
0.064814813435070.055705416947000000125 1986-03-130.06481481340.06481481
0.067129626870150.057694889605000000057 1986-03-140.06712962680.06712962
0.065586417913430.056368570774000000028 1986-03-170.06635802230.06558641
0.064043208956710.055042266845000000032 1986-03-180.06481481340.06404320
00000000000.06250.053715944290000000022 1986-03-190.064043208900000.0625
00000000000.06250.053715944290000000017 1986-03-200000000.062500000.0625
0.060185186564920.051726453006000000016 1986-03-210.06172839550.06018518
0.060185186564920.051726453006000000020 1986-03-240.06018518650.06018518
0.060185186564920.051726453006000000021 1986-03-250.06018518650.06018518
0.060956791043280.052389614284000000023 1986-03-260.06095679100.06095679
0.063271604478350.054379098117000000021 1986-03-270.06327160440.06327160
0.064043208956710.055042266845000000009 1986-03-310.06404320890.06404320
0.060956791043280.052389614284000000020 1986-04-010.06172839550.06095679
0.060185186564920.051726453006000000012 1986-04-020.06095679100.06018518
00000000000.06250.053715944290000000011 1986-04-030000000.062500000.0625
0.061728395521640.053052779287000000010 1986-04-040000000.06250.06172839
00000000000.06250.053715944290000000009 1986-04-070000000.062500000.0625
00000000000.06250.053715944290000000015 1986-04-080000000.062500000.0625
00000000000.06250.053715944290000000008 1986-04-090000000.062500000.0625
00000000000.06250.053715944290000000009 1986-04-100000000.062500000.0625
0.064043208956710.055042266845000000018 1986-04-110.06404320890.06404320
0.064043208956710.055042266845000000046 1986-04-140.06404320890.06404320
0.064043208956710.055705416947000000012 1986-04-150.06404320890.06481481
0.064043208956710.058358043432000000022 1986-04-160.06481481340.06790123
0.067901231348510.063663341104000000019 1986-04-170.06790123130.07407407
0.074074074625960.068968616425000000027 1986-04-180.07407407460.08024691
0.079475305974480.075600214302000000033 1986-04-210.08024691040.08796296
0.082561731338500.071621254086000000038 1986-04-220.08796296260.08333333
0.081018514931200.069631755352000000004 1986-04-230.08333333580.08101851
0.081018514931200.070958085358000000010 1986-04-240.08101851490.08256173
0.082561731338500.072284415364000000004 1986-04-250.08256173130.08410494
0.084104940295210.072947569191000000046 1986-04-280.08410494020.08487654
0.083333335816860.072284415364000000002 1986-04-290.08487654470.08410494
0.077160492539400.066315948963000000009 1986-04-300.08256173130.07716049
0.077160492539400.067642286419000000021 1986-05-010.07716049250.07870370
0.074074074625960.063663341104000000010 1986-05-020.07870370140.07407407
0.074074074625960.064989656209000000004 1986-05-050.07407407460.07561728
0.074074074625960.066979140043000000007 1986-05-060.07561728350.07793209
0.077932097017760.068305440247000000011 1986-05-070.07793209700.07947530
0.078703701496120.068968616425000000021 1986-05-080.07947530590.08024691
0.080246910452840.070294901728000000007 1986-05-090.08024691040.08179012
0.080246910452840.069631755352000000011 1986-05-120.08179012680.08101851
0.080246910452840.071621254086000000035 1986-05-130.08101851490.08333333
0.081018514931200.069631755352000000002 1986-05-140.08333333580.08101851
0.081018514931200.070958085358000000000 1986-05-150.08101851490.08256173
0.081790126860140.071621254086000000003 1986-05-160.08256173130.08333333
0.078703701496120.067642286419000000008 1986-05-190.08333333580.07870370
0.078703701496120.067642286419000000004 1986-05-200.07870370140.07870370
0.078703701496120.068305440247000000000 1986-05-210.07870370140.07947530
0.076388888061040.066315948963000000011 1986-05-220.07947530590.07716049
0.075617283582680.064989656209000000004 1986-05-230.07716049250.07561728
0.074845679104320.065652832388000000002 1986-05-270.07561728350.07638888
0.074845679104320.065652832388000000001 1986-05-280.07638888800.07638888
0.073302470147600.063000157475000000005 1986-05-290.07484567910.07330247
0.071759261190890.062337029725000000020 1986-05-300.07330247010.07253086
0.068672835826870.060347553342000000008 1986-06-020.07253086560.07021605
0.064814813435070.062005434185000000062 1986-06-030.07021605220.07214505
0.070987656712530.062337029725000000022 1986-06-040.07214505970.07253086
0.070987656712530.066315948963000000028 1986-06-050.07253086560.07716049
0.077160492539400.066315948963000000004 1986-06-060.07716049250.07716049
0.074074074625960.065652832388000000006 1986-06-090.07716049250.07638888
0.073302470147600.064326517283000000017 1986-06-100.07638888800.07484567
0.074845679104320.066315948963000000010 1986-06-110.07484567910.07716049
0.076388888061040.065652832388000000012 1986-06-120.07716049250.07638888
0.076388888061040.066315948963000000019 1986-06-130.07638888800.07716049
0.076388888061040.065652832388000000005 1986-06-160.07716049250.07638888
0.074845679104320.064989656209000000018 1986-06-170.07638888800.07561728
0.074845679104320.064326517283000000008 1986-06-180.07561728350.07484567
0.074845679104320.065321229398000000005 1986-06-190.07484567910.07600308
0.074459873139850.064326517283000000021 1986-06-200.07600308950.07484567
0.074074074625960.065652832388000000018 1986-06-230.07484567910.07638888
0.074074074625960.065652832388000000010 1986-06-240.07638888800.07638888
0.075617283582680.064989656209000000000 1986-06-250.07638888800.07561728
0.074074074625960.065652832388000000005 1986-06-260.07561728350.07638888
0.074845679104320.064326517283000000013 1986-06-270.07638888800.07484567
0.074845679104320.064658097922000000007 1986-06-300.07484567910.07523148
0.074845679104320.065652832388000000002 1986-07-010.07523148500.07638888
0.074845679104320.064326517283000000000 1986-07-020.07638888800.07484567
0.074845679104320.064326517283000000004 1986-07-030.07484567910.07484567
0.073302470147600.063663341104000000010 1986-07-070.07484567910.07407407
0.073302470147600.063000157475000000006 1986-07-080.07407407460.07330247
0.073302470147600.063663341104000000003 1986-07-090.07330247010.07407407
0.074074074625960.063663341104000000002 1986-07-100.07407407460.07407407
0.073302470147600.063000157475000000005 1986-07-110.07407407460.07330247
0.072530865669250.064326517283000000019 1986-07-140.07330247010.07484567
0.065586417913430.057031732052000000030 1986-07-150.07330247010.06635802
0.053240742534390.047084353864000000112 1986-07-160.06481481340.05478395
0.055555555969470.050400134176000000131 1986-07-170.05555555590.05864197
0.057098764926190.049736972898000000020 1986-07-180.05864197380.05787036
0.056327160447830.049073811620000000008 1986-07-210.05787036940.05709876
0.055555555969470.047747500240000000008 1986-07-220.05709876490.05555555
0.054783951491110.047084353864000000007 1986-07-230.05555555590.05478395
0.050925925374030.044431693851000000016 1986-07-240.05478395140.05169752
0.048611111938950.043768532574000000008 1986-07-250.05092592530.05092592
0.047839507460590.043105378746000000007 1986-07-280.05015432080.05015432
0.047839507460590.042110648006000000028 1986-07-290.05015432080.04899691
0.047839507460590.042442228645000000009 1986-07-300.04899691410.04938271
0.047839507460590.041115906089000000003 1986-07-310.04938271640.04783950
0.047839507460590.041115906089000000005 1986-08-010.04783950740.04783950
0.044753085821860.039126429706000000012 1986-08-040.04783950740.04552469
0.044753085821860.038463260978000000003 1986-08-050.04552469030.04475308
0.044753085821860.039457987993000000002 1986-08-060.04475308580.04591049
0.044753085821860.040452752262000000005 1986-08-070.04591049250.04706790
0.044753085821860.040452752262000000005 1986-08-080.04706790290.04706790
0.041666667908430.038463260978000000044 1986-08-110.04706790290.04475308
0.045524690300220.040452752262000000040 1986-08-120.04552469030.04706790
0.047067902982230.042110648006000000037 1986-08-130.04706790290.04899691
0.047067902982230.042110648006000000021 1986-08-140.04899691410.04899691
0.048611111938950.042110648006000000015 1986-08-150.04899691410.04899691
0.048611111938950.042110648006000000029 1986-08-180.04899691410.04899691
0.048611111938950.042442228645000000006 1986-08-190.04899691410.04938271
0.047067902982230.040452752262000000008 1986-08-200.04938271640.04706790
0.047067902982230.040452752262000000001 1986-08-210.04706790290.04706790
0.047067902982230.040452752262000000000 1986-08-220.04706790290.04706790
0.047067902982230.041115906089000000007 1986-08-250.04706790290.04783950
0.042438272386780.038463260978000000003 1986-08-260.04783950740.04475308
0.044753085821860.040452752262000000005 1986-08-270.04475308580.04706790
0.046296294778580.041779063642000000056 1986-08-280.04706790290.04861111
0.048611111938950.043768532574000000040 1986-08-290.04861111190.05092592
0.050925925374030.045094858855000000020 1986-09-020.05092592530.05246913
0.050925925374030.045094858855000000019 1986-09-030.05246913430.05246913
0.047839507460590.042442228645000000089 1986-09-040.05246913430.04938271
0.047067902982230.041779063642000000030 1986-09-050.04938271640.04861111
0.046296294778580.041115906089000000001 1986-09-080.04861111190.04783950
0.047067902982230.041779063642000000014 1986-09-090.04783950740.04861111
0.047067902982230.040452752262000000037 1986-09-100.04861111190.04706790
0.041666667908430.035810627043000000008 1986-09-110.04706790290.04166666
0.040895063430070.038463260978000000019 1986-09-120.04166666790.04475308
0.043209876865140.037136942148000000001 1986-09-150.04475308580.04320987
0.043209876865140.039789579808000000028 1986-09-160.04320987680.04629629
0.047067902982230.041115906089000000008 1986-09-170.04706790290.04783950
0.046296294778580.039789579808000000004 1986-09-180.04783950740.04629629
