0.846354186534880.000582806183000000002 1972-06-01000000000000000.859375
0.846354186534880.000575741578000000001 1972-06-0200000.8593750.84895831
0.841145813465110.000573975266000000002 1972-06-050.84895831340.84635418
0000000000.843750.000586338341000000002 1972-06-060.84635418650.86458331
00000000.85156250.000586338341000000000 1972-06-070.86458331340.86458331
000000000.8593750.000582806183000000001 1972-06-080.8645833134000.859375
000000000.8593750.000586338341000000001 1972-06-0900000.8593750.86458331
0.864583313465110.000588104478000000001 1972-06-120.864583313400.8671875
0.861979186534880.000593402714000000002 1972-06-130000.8671875000000.875
0.869791686534880.000593402714000000001 1972-06-1400000000.875000000.875
0.864583313465110.000586338341000000002 1972-06-1500000000.8750.86458331
0.854166686534880.000596934871000000002 1972-06-160.86458331340.88020831
0.877604186534880.000603998836000000001 1972-06-190.8802083134000.890625
0.885416686534880.000607531052000000002 1972-06-2000000.8906250.89583331
0.885416686534880.000600466504000000001 1972-06-210.89583331340.88541668
0.877604186534880.000602233281000000002 1972-06-220.88541668650.88802081
0.864583313465110.000600466504000000001 1972-06-230.88802081340.88541668
0.864583313465110.000593402714000000001 1972-06-260.8854166865000000.875
0.864583313465110.000593402714000000001 1972-06-2700000000.875000000.875
0.861979186534880.000588104478000000001 1972-06-280.872395813400.8671875
0.861979186534880.000596934871000000001 1972-06-290000.86718750.88020831
0.877604186534880.000598700717000000002 1972-06-300.880208313400.8828125
000000000000.8750.000600466504000000000 1972-07-030000.88281250.88541668
000000000.8906250.000611063442000000002 1972-07-0500000.8906250.90104168
0.908854186534880.000623426225000000003 1972-07-060.90885418650.91927081
00000000.91406250.000632256444000000002 1972-07-070.91927081340.93229168
00000000.92968750.000634022580000000002 1972-07-100.93229168650.93489581
0.934895813465110.000634022580000000002 1972-07-110.93489581340.93489581
0.932291686534880.000635788717000000002 1972-07-120.934895813400000.9375
0000000000.906250.000618127232000000001 1972-07-130.93229168650.91145831
0.908854186534880.000632256444000000001 1972-07-140.91145831340.93229168
0.908854186534880.000626957800000000000 1972-07-170.93229168650.92447918
