000000001.4218750.013335715048000000000 1962-01-0200000000000001.4296875
0000001.402343750.013189964927000000000 1962-01-0300000000000001.4140625
000000001.3906250.012971356511000000000 1962-01-04000000000000001.390625
0000001.363281250.012880258262000000000 1962-01-050000000000001.38085937
000000001.3281250.012534120120000000001 1962-01-080000000000000001.34375
00000001.33593750.012515894137000000000 1962-01-090000000000001.34179687
000001.3339843750.012552340514000000000 1962-01-100000000000001.34570312
0000000001.343750.012534120120000000000 1962-01-110000000000000001.34375
0000000001.343750.012606983073000000000 1962-01-1200000000000001.3515625
00000001.33593750.012534120120000000000 1962-01-150000000000000001.34375
00000001.33593750.012589008547000000000 1962-01-160000000000000001.34375
000000001.2968750.012149855494000000000 1962-01-17000000000000001.296875
0000001.292968750.012204759754000000000 1962-01-180000000000001.30273437
000001.2988281250.012204759754000000000 1962-01-190000000000001.30273437
000000001.2968750.012223059311000000000 1962-01-2200000000000001.3046875
0000001.300781250.012204759754000000000 1962-01-230000000000001.30273437
0000001.285156250.012094973586000000000 1962-01-240000000000001.29101562
0000001.285156250.012149855494000000000 1962-01-25000000000000001.296875
0000001.285156250.012040077708000000000 1962-01-260000000000001.28515625
0000000001.281250.012003474868000000000 1962-01-290000000000000001.28125
0000001.269531250.012003474868000000000 1962-01-300000000000000001.28125
00000001.28906250.012113272212000000000 1962-01-310000000000001.29296875
0000001.292968750.012149855494000000000 1962-02-01000000000000001.296875
0000001.292968750.012186460196000000000 1962-02-020000000000001.30078125
0000001.285156250.012113272212000000000 1962-02-050000000000001.29296875
0000000001.281250.012094973586000000000 1962-02-060000000000001.29101562
0000001.285156250.012094973586000000000 1962-02-070000000000001.29101562
0000001.277343750.012003474868000000000 1962-02-080000000000000001.28125
000001.2753906250.011948589235000000000 1962-02-090000000000001.27539062
000001.2753906250.011985187418000000000 1962-02-120000000000001.27929687
000001.2753906250.011948589235000000000 1962-02-130000000000001.27539062
000001.2675781250.011948589235000000000 1962-02-140000000000001.27539062
00000001.27343750.011985187418000000000 1962-02-150000000000001.27929687
000001.2675781250.011930283159000000000 1962-02-1600000000000001.2734375
000000001.2656250.011857101693000000000 1962-02-19000000000000001.265625
000001.2558593750.011802204884000000000 1962-02-200000000000001.25976562
0000001.238281250.011710715480000000000 1962-02-210000000000000000001.25
0000001.246093750.011710715480000000000 1962-02-230000000000000000001.25
000001.2441406250.011655820533000000000 1962-02-260000000000001.24414062
0000001.238281250.011674120090000000000 1962-02-270000000000001.24609375
