3.507999897003174.777999877929000000093 2010-06-293.79999995234.77799987
4.659999847412104.765999794006000000085 2010-06-305.15799999234.76599979
4.053999900817874.392000198364000000041 2010-07-010000000000054.39200019
3.742000102996823.839999914169000000025 2010-07-024.59999990463.83999991
3.165999889373773.221999883651000000034 2010-07-060000000000043.22199988
2.996000051498413.160000085830000000034 2010-07-073.27999997133.16000008
3.114000082015993.492000102996000000038 2010-07-083.22799992563.49200010
3.309999942779543.480000019073000000020 2010-07-093.51600003243.48000001
3.400000095367433.410000085830000000011 2010-07-123.58999991413.41000008
3.380000114440913.628000020980000000013 2010-07-133.47799992563.62800002
3.552000045776363.967999935150000000020 2010-07-143.58800005913.96799993
3.799999952316283.977999925613000000018 2010-07-153.98799991603.97799992
4.010000228881834.127999782562000000013 2010-07-164.13999986644.12799978
4.184000015258784.381999969482000000012 2010-07-194.27400016784.38199996
4.010000228881834.059999942779000000009 2010-07-204.36999988554.05999994
3.900000095367434.044000148773000000006 2010-07-214.13199996944.04400014
4.073999881744384.199999809265000000004 2010-07-224.09999990464.19999980
4.211999893188474.257999897003000000003 2010-07-234.23799991604.25799989
4.059999942779544.190000057220000000004 2010-07-264.30000019074.19000005
4.052000045776364.110000133514000000003 2010-07-274.18200016024.11000013
4.102000236511234.144000053405000000002 2010-07-284.11000013354.14400005
00000000000000044.070000171661000000003 2010-07-294.15399980544.07000017
3.910000085830683.987999916076000000002 2010-07-304.03999996183.98799991
4.065999984741214.184000015258000000003 2010-08-024.09999990464.18400001
4.164000034332274.389999866485000000006 2010-08-034.19999980924.38999986
4.170000076293944.251999855041000000004 2010-08-044.38999986644.25199985
4.010000228881834.090000152587000000003 2010-08-054.30800008774.09000015
3.904000043869013.917999982833000000003 2010-08-064.01999998093.91799998
3.890000104904173.920000076293000000004 2010-08-093.98000001903.92000007
3.763999938964843.805999994277000000006 2010-08-103.93000006673.80599999
3.569999933242793.579999923706000000003 2010-08-113.73799991603.57999992
3.477999925613403.519999980926000000003 2010-08-123.55999994273.51999998
3.532000064849853.664000034332000000003 2010-08-133.63599991793.66400003
3.651999950408933.756000041961000000002 2010-08-163.69000005723.75600004
3.756000041961673.829999923706000000002 2010-08-173.79200005533.82999992
3.720000028610223.753999948501000000003 2010-08-183.91799998283.75399994
3.665999889373773.757999897003000000002 2010-08-193.70799994463.75799989
3.701999902725213.819999933242000000001 2010-08-203.73000001903.81999993
