5.646039962768553.428065776824000000010 1997-10-095.64603996276.32356500
6.363419055938723.586505413055000000010 1997-10-107.01437425616.61583042
6.443128108978273.507285594940000000003 1997-10-136.62911510466.46969747
6.031299114227293.363249301910000000002 1997-10-146.41655826566.20400142
5.805457592010493.269625902175000000003 1997-10-155.81874227526.03129911
5.818742275238033.168800592422000000001 1997-10-166.03129911425.84531211
5.327204704284662.895131111145000000003 1997-10-175.57961606975.34048938
4.450407981872552.535040140151000000011 1997-10-204.46369266514.67624950
4.862236976623532.895131111145000000006 1997-10-214.88880634305.34048938
4.702819347381592.556646108627000000004 1997-10-224.91537618634.71610403
4.251135826110842.405407190322000000012 1997-10-234.56997108454.43712329
4.091718196868892.275774478912000000009 1997-10-244.54340171814.19799661
3.626750469207761.973298192024000000004 1997-10-274.09171819683.64003515
3.321199893951412.419810771942000000010 1997-10-283.34776949884.46369266
4.038578987121582.196554899215000000007 1997-10-294.09171819684.05186414
3.812737703323362.138940334320000000002 1997-10-303.82602238653.94558548
4.078433513641352.275774478912000000003 1997-10-314.09171819684.19799661
4.569971084594722.614260435104000000006 1997-11-034.56997108454.82238245
4.689534187316892.614260435104000000003 1997-11-044.78252792354.82238245
4.915376186370852.823112249374000000003 1997-11-054.91537618635.20764160
5.127933025360102.808709383010000000003 1997-11-065.39362859725.18107223
4.782527923583982.743892908096000000004 1997-11-074.80909776685.06150865
5.074793815612792.758297204971000000002 1997-11-105.26078081135.08807849
4.968515396118162.700682163238000000002 1997-11-114.99508476254.98180007
4.689534187316892.549444198608000000003 1997-11-124.82238245014.70281934
4.596540927886962.527838468551000000002 1997-11-134.75595855714.66296482
4.596540927886962.527838468551000000002 1997-11-144.75595855714.66296482
4.888806343078612.707883119583000000003 1997-11-174.98180007934.99508476
4.649680137634272.535040140151000000002 1997-11-184.83566713334.67624950
4.490262508392332.463022470474000000001 1997-11-194.62311029434.54340171
4.423838615417482.405407190322000000002 1997-11-204.45040798184.43712329
4.463692665100092.527838468551000000004 1997-11-214.46369266514.66296482
4.437123298645012.470223665237000000002 1997-11-244.43712329864.55668640
4.583255767822262.535040140151000000001 1997-11-254.58325576784.67624950
4.543401718139642.491829156875000000001 1997-11-264.62311029434.59654092
4.662964820861812.535040140151000000001 1997-11-284.67624950404.67624950
4.397268772125242.419810771942000000002 1997-12-014.46369266514.46369266
4.450407981872552.419810771942000000002 1997-12-024.50354719164.46369266
